description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                After losing their family home in Algeria, three brothers are scattered across the globe. Messaoud joins the French army fighting in Indochina; Abdelkader becomes a leader of the Algerian independence movement; Sad moves to Paris to make his fortune in the shady clubs and boxing halls of Pigalle. Gradually, their interconnecting destinies reunite them in the French capital, where freedom is a battle to be fought and won.-- (C) Official Site
            ","R (for violence)
                    ",Rachid Bouchareb,NA,NA,Rachid Bouchareb,Olivier Lorelle,NA,NA,"Nov 3, 2010
                        ","Aug 2, 2011
                        ","
                            137 minutes
                        ","
                        Independent Pictures
                    ","
                Sami Bouajila
            ","
                Jamel Debbouze
            ","
                Roschdy Zem
            ","
                Bernard Blancan
            ","
                Larbi Zekkal
            ","
                Sabrina Seyvecou
            ","
                                Outside the Law (Hors-la-loi)
                            ",2010,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",76,41,65,678,134657,6.46,6.41,20,3.5,168,91,220,https://www.rottentomatoes.com/m/hors_la_loi_2010
"
                When the scout fairies grow fearful that the mysterious NeverBeast will destroy Pixie Hollow, friendly Fawn must convince Tinker Bell and the rest of the locals that the creature is in fact a gentle giant.
            ","G
                    ",Steve Loter,NA,NA,Steve Loter,Tom Rogers,Robert Schooley,Mark McCorkle,"Mar 3, 2015
                        ","
                            76 minutes
                        ",NA,"
                        DisneyToon Studios
                    ","
                Ginnifer Goodwin
            ","
                Mae Whitman
            ","
                Pamela Adlon
            ","
                Lucy Liu
            ","
                Megan Hilty
            ","
                Raven-Symon
            ",TinkerBell and the Legend of the NeverBeast,NA,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Animation, 
                        
                        Kids & Family
                        
                    ",75,20,76,1,133362,5.59,5,8,3.98,436,137,708,https://www.rottentomatoes.com/m/tinkerbell_and_the_legend_of_the_neverbeast
"
                The most famed and well-regarded collaboration between New German Cinema director Werner Herzog and his frequent leading man, Klaus Kinski, this epic historical drama was legendary for the arduousness of its on-location filming and the convincing zealous obsession employed by Kinski in playing the title role. Exhausted and near to admitting failure in its quest for riches, the 1560-61 expedition of Spanish conquistador Gonzalo Pizarro (Alejandro Repulles) bogs down in the impenetrable jungles of Peru. As a last-ditch effort to locate treasure, Pizarro orders a party to scout ahead for signs of El Dorado, the fabled seven cities of gold. In command are a trio of nobles, Pedro de Ursua (Ruy Guerra), Fernando de Guzman (Peter Berling), and Lope de Aguirre (Kinski). Traveling by river raft, the explorers are besieged by hostile natives, disease, starvation and treacherous waters. Crazed with greed and mad with power, Aguirre takes over the enterprise, slaughtering any that oppose him. Nature and Aguirre's own unquenchable thirst for glory ultimately render him insane, in charge of nothing but a raft of corpses and chattering monkeys. Aguirre, der Zorn Gottes (1973) was based on the real-life journals of a priest, Brother Gaspar de Carvajal (played in the film by Del Negro), who accompanied Pizarro on his ill-fated mission.
            ","R
                    ",Werner Herzog,NA,NA,Werner Herzog,NA,NA,NA,"Dec 29, 1972
                        ","Oct 24, 2000
                        ","
                            90 minutes
                        ","
                        New Yorker Films
                    ","
                Klaus Kinski
            ","
                Ruy Guerra
            ","
                Del Negro
            ","
                Helena Rojo
            ","
                Cecilia Rivera
            ","
                Peter Berling
            ","
                                Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)
                            ",1972,"A haunting journey of natural wonder and tangible danger, Aguirre transcends epic genre trappings and becomes mythological by its own right.","
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",98,46,91,24,134794,9.11,9.22,10,4.35,4904,482,2693,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god
"
                A talented, young getaway driver (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the game. But after being coerced into working for a crime boss (Kevin Spacey), he must face the music when a doomed heist threatens his life, love and freedom.
            ","R (for violence and language throughout.)
                    ",Edgar Wright,NA,NA,Edgar Wright,NA,NA,NA,"Jun 28, 2017
                        ","Oct 10, 2017
                        ","
                            113 minutes
                        ","
                        Sony Pictures
                    ","
                Ansel Elgort
            ","
                Kevin Spacey
            ","
                Lily James
            ","
                Jon Bernthal
            ","
                Eiza Gonzalez
            ","
                Jon Hamm
            ",Baby Driver,NA,"Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.","
                        
                        Action & Adventure, 
                        
                        Drama
                        
                    ",93,373,86,62,138034,8.03,8.44,52,4.13,26931,4395,28109,https://www.rottentomatoes.com/m/baby_driver
"
                We all wish for the chance to go back in time and change the things, for The Flash, that coveted chance is within reach. He traverses time to right a violent, decades-past crime against his mother, but the ripples of his good intentions prove disastrous, as a fractured, alternate reality now exists in place of the familiar one. Stumbling through this twisted reality where even Superman is nowhere to be found, The Flash seeks the trusted wisdom of Batman, only to find a grittier, more violent Dark Knight in his place. Together with the help of Cyborg, they race to restore the continuity of Flash's original timeline while this new world is ravaged by a fierce war between Wonder Woman's Amazons and the Atlanteans, led by a battle hardened Aquaman. With breath taking action and an all-star voice cast featuring Kevin Conroy, C. Thomas Howell and Dana Delany, it's a bold, emotional vision that will forever change the landscape of the DC Universe!
            ","PG-13
                    ",Jay Oliva,NA,NA,James Krieg,Geoff Johns,Jerry Siegel,NA,"Jul 30, 2013
                        ","
                            95 minutes
                        ",NA,"
                        WARNER BROTHERS PICTURES
                    ","
                Justin Chambers
            ","
                Cary Elwes
            ","
                Nathan Fillion
            ","
                Ron Perlman
            ","
                C. Thomas Howell
            ","
                Kevin Mckidd
            ","
                                DCU: Justice League: The Flashpoint Paradox
                            ",2013,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Animation
                        
                    ",100,5,93,5,133312,7.62,0,0,4.38,4310,349,893,https://www.rottentomatoes.com/m/dcu_justice_league_the_flashpoint_paradox
"
                Based on the novel by John Le Carre, The Spy Who Came in from the Cold stars Richard Burton as a dispirited, end-of-tether British secret agent. He comes in from ""the cold"" (meaning he is pulled out of field operations) to act as a undercover man behind the Iron Curtain. To make his staged defection seem genuine, Burton goes on an alcoholic toot and is imprisoned and publicly humiliated. Once he has been accepted into East German espionage circles, Burton discovers that what he thought was his mission was a mere subterfuge--and that he's been set up as a pawn for an entirely different operation. Though Ireland and England ""stand in"" for East Berlin, Spy Who Came In From the Cold has the air of authenticity throughout, thanks in great part to the bleak black and white photography by Oswald Morris. The film was condemned as incomprehensible by those filmgoers accustomed to the simplistic melodramatics of James Bond; seen today, the double-crosses and double-double crosses seem all too clear and credible.
            ","NR
                    ",Martin Ritt,NA,NA,Guy Trosper,Paul Dehn,NA,NA,"Jan 1, 1965
                        ","Jul 13, 2004
                        ","
                            112 minutes
                        ","
                        Paramount Pictures
                    ","
                Richard Burton
            ","
                Claire Bloom
            ","
                Oskar Werner
            ","
                Cyril Cusack
            ","
                Peter van Eyck
            ","
                Sam Wanamaker
            ","
                                The Spy Who Came In from the Cold
                            ",1965,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",87,15,82,5,133304,7.67,6.38,4,3.9,687,153,852,https://www.rottentomatoes.com/m/the_spy_who_came_in_from_the_cold
"
                Set in the near-future, eXistenZ depicts a society in which game designers are worshipped as superstars and players can organically enter inside the games. At the center of the story is Allegra Geller whose latest games system eXistenZ taps so deeply into its users fears and desires that it blurs the boundaries between reality and escapism. When fanatics attempt to assassinate Allegra, she is forced to flee. Her sole ally is Ted Pikul (Law), a novice security guard who is sworn to protect her. Persuading Ted into playing the game, Allegra draws them both into a phantasmagoric world where existence ends and eXistenZ begins.
            ","R (for strong sci-fi violence and gore, and for language)
                    ",David Cronenberg,NA,NA,David Cronenberg,NA,NA,NA,"Apr 23, 1999
                        ","Oct 19, 1999
                        ","
                            97 minutes
                        ","
                        Miramax
                    ","
                Jennifer Jason Leigh
            ","
                Jude Law
            ","
                Willem Dafoe
            ","
                Ian Holm
            ","
                Sarah Polley
            ","
                Don McKellar
            ","
                                Existenz
                            ",1999,"Gooey, slimy, grotesque fun.","
                        
                        Action & Adventure, 
                        
                        Science Fiction & Fantasy
                        
                    ",74,70,69,48,136475,6.69,6.09,15,3.57,4596,2101,6518,https://www.rottentomatoes.com/m/existenz
"
                A top London cop who is so good at his job that he makes his fellow officers look like slackers by comparison is ""promoted"" to serve in the sleepy village of Sandford in this contemporary action comedy from the creators of Shaun of the Dead. Police constable Nicholas Angel (Simon Pegg) always gets his man, but these days his impeccable record seems to be more indicative of his fellow officers' shortcomings than his own formidable skills as a keeper of the peace. Loathe to stand idly by as their once respectable track record is steadily soiled by the hyper-competent actions of one lone overachiever, Sergeant Angel's superiors at the Met soon determine to remedy their problem by relocating the decorated constable to the West Country village of Sanford -- where tranquil garden parties and neighborhood watch meetings stand in stark contrast to the violent crime and heated gunplay of the city. As Sergeant Angel does his best to adjust to the relative calm of his new environment, his oafish new partner Danny Butterman (Nick Frost) strives to gain the respect of his fellow constables while sustaining himself on fantasies of his favorite action films and police shows. Later, just as it begins to appear as if Sergeant Angel has been relegated to an uneventful existence in the relative calm of the countryside, a series of horrific ""accidents"" lead him to suspect that the tranquil hamlet of Sanford has fallen prey to a sinister plot which reeks of foul play. Jim Broadbent, Timothy Dalton, Steve Coogan, and Martin Freeman co-star in the Edgar Wright film. ~ Jason Buchanan, Rovi
            ","R (for violent content including some graphic images, and language)
                    ",Edgar Wright,NA,NA,Edgar Wright,Simon Pegg,NA,NA,"Apr 20, 2007
                        ","Jul 31, 2007
                        ","
                            121 minutes
                        ","
                        Rogue Pictures/Focus Features
                    ","
                Simon Pegg
            ","
                Nick Frost
            ","
                Jim Broadbent
            ","
                Steve Coogan
            ","
                Edward Woodward
            ","
                Paddy Considine
            ","
                                Hot Fuzz
                            ",2007,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,"
                        
                        Action & Adventure, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",91,203,89,565,142043,7.65,7.22,53,4.21,124848,14876,132451,https://www.rottentomatoes.com/m/hot_fuzz
"
                Two lawless lovers careen recklessly down the dangerous path of destruction, murder, and mayhem on their way to meeting the one person who will be their judge, jury, and executioner. Billy and Betty were the Bonnie and Clyde of their generation. But their crime spree came to an end when, after gunning down innocent victims in a violent bank robbery, Billy was apprehended by the authorities and sentenced to life in prison. Seven years later, a jurisdictional technicality states that Billy will have to be tried in a neighboring state, and Betty takes the opportunity to spring her lover during the tense prison transfer. Swiping a car and hitting the road, the pair attempt to pick up where they left off when Betty realizes that Billy isn't the same man she fell in love with. Prison has changed Billy, and after admitting that he feels a terrible sense of remorse for his past transgressions, he reveals that someone is targeting and torturing those closest to him. And there's proof of the crime, too, because whoever is responsible for these heinous crimes has sent photographs of the victims to Billy. Later, as Betty and Billy arrive at their destination to find that the small town has seemingly been abandoned, a scream rips through the darkness and Billy's sister Jenny appears bloody and shaken. Judgment is coming, and although Billy now regrets his past sins, there's no appealing his sentence of death.
            ","R
                    ",K.C. Bascombe,NA,NA,Greg Rosati,Gregory D. Rosati,NA,NA,"Dec 17, 2008
                        ","Jun 30, 2009
                        ","
                            90 minutes
                        ","
                        MTI Home Video
                    ","
                Christian Kane
            ","
                Rachel Miner
            ","
                Polly Shannon
            ","
                Beth Grant
            ",NA,NA,Hide,NA,"Cleverly written and directed, this is a tight, atmospheric and claustrophobic low budget British thriller.","
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",83,12,51,311,132664,6.38,6.8,5,3.1,39,37,72,https://www.rottentomatoes.com/m/hide
"
                In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
            ","PG-13
                    ",Fritz Lang,NA,NA,Thea von Harbou,Fritz Lang,NA,NA,"Mar 13, 1927
                        ","Feb 18, 2003
                        ","
                            115 minutes
                        ","
                        Paramount Pictures
                    ","
                Alfred Abel
            ","
                Gustav Frolich
            ","
                Gustav Frhlich
            ","
                Brigitte Helm
            ","
                Rudolf Klein-Rogge
            ","
                Theodor Loos
            ",Metropolis,NA,A visually awe-inspiring science fiction classic from the silent era.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",97,126,92,62,132787,9.1,9.25,38,4.37,12385,1145,13651,https://www.rottentomatoes.com/m/1013775-metropolis
