description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Abel is in France during WW II and is falsely accused and convicted of rape. During the war he is freed by German invaders who give him a job riding out to kidnap boys suitable for being trained in the SS. Eventually Abel gets a chance to redeem himself.
            ","R (for some violence/disturbing images and a scene of sexuality)
                    ",Volker Schlndorff,NA,NA,NA,NA,NA,NA,"Jan 8, 1999
                        ","May 9, 2000
                        ","
                            118 minutes
                        ","
                        Kino
                    ","
                John Malkovich
            ","
                Gottfried John
            ","
                Marianne Sgebrecht
            ","
                Armin Mueller-Stahl
            ","
                Caspar Salmon
            ","
                Volker Spengler
            ",Der Unhold (The Ogre),NA,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",89,9,72,643,132047.0,7,7.5,3,3.68,90,35,140,https://www.rottentomatoes.com/m/1089805-ogre
"
                Blindsided with anguish after her husband's sudden death, Dawn (Gainsbourg)-along with her four young children-struggles to make sense of life without him. Eight-year-old Simone (unforgettable newcomer Morgana Davies) becomes convinced that her father is whispering to her through the leaves of the gargantuan fig tree that towers over their house. The family is initially comforted by its presence, but then the tree's enormous roots slowly begin to encroach on the abode and threaten their fragile existence.... -- (C) Zeitgeist Films
            ","NR
                    ",Julie Bertuccelli,NA,NA,Julie Bertuccelli,Elizabeth J. Mars,NA,NA,"Jul 15, 2011
                        ","Nov 15, 2011
                        ","
                            100 minutes
                        ","
                        Zeitgeist Films
                    ","
                Charlotte Gainsbourg
            ","
                Marton Csokas
            ","
                Morgana Davies
            ","
                Aden Young
            ","
                Gillian Jones
            ","
                Penne Hackforth-Jones
            ","
                                The Tree
                            ",2011,"Though it leans rather heavily on its central metaphor, The Tree is a moving and ultimately hopeful meditation on grief with shades of magical realism.","
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",72,67,53,5,140113.0,6.21,6,27,3.28,268,241,1498,https://www.rottentomatoes.com/m/the_tree_2010
"
                The most famed and well-regarded collaboration between New German Cinema director Werner Herzog and his frequent leading man, Klaus Kinski, this epic historical drama was legendary for the arduousness of its on-location filming and the convincing zealous obsession employed by Kinski in playing the title role. Exhausted and near to admitting failure in its quest for riches, the 1560-61 expedition of Spanish conquistador Gonzalo Pizarro (Alejandro Repulles) bogs down in the impenetrable jungles of Peru. As a last-ditch effort to locate treasure, Pizarro orders a party to scout ahead for signs of El Dorado, the fabled seven cities of gold. In command are a trio of nobles, Pedro de Ursua (Ruy Guerra), Fernando de Guzman (Peter Berling), and Lope de Aguirre (Kinski). Traveling by river raft, the explorers are besieged by hostile natives, disease, starvation and treacherous waters. Crazed with greed and mad with power, Aguirre takes over the enterprise, slaughtering any that oppose him. Nature and Aguirre's own unquenchable thirst for glory ultimately render him insane, in charge of nothing but a raft of corpses and chattering monkeys. Aguirre, der Zorn Gottes (1973) was based on the real-life journals of a priest, Brother Gaspar de Carvajal (played in the film by Del Negro), who accompanied Pizarro on his ill-fated mission.
            ","R
                    ",Werner Herzog,NA,NA,Werner Herzog,NA,NA,NA,"Dec 29, 1972
                        ","Oct 24, 2000
                        ","
                            90 minutes
                        ","
                        New Yorker Films
                    ","
                Klaus Kinski
            ","
                Ruy Guerra
            ","
                Del Negro
            ","
                Helena Rojo
            ","
                Cecilia Rivera
            ","
                Peter Berling
            ","
                                Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)
                            ",1972,"A haunting journey of natural wonder and tangible danger, Aguirre transcends epic genre trappings and becomes mythological by its own right.","
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",98,46,91,24,134150.0,9.11,9.22,10,4.35,4904,482,2693,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god
"
                Condemned to six years in prison, Malik El Djebena, part Arab, part Corsican, cannot read or write. Arriving at the jail entirely alone, he appears younger and more fragile than the other convicts. He is 19 years old. Cornered by the leader of the Corsican gang currently ruling the prison, he is given a number of ""missions"" to carry out, toughening him up and gaining the gang leader's confidence in the process. Malik is a fast learner and rises up the prison ranks, all the while secretly devising his own plans.
            ","R (for strong violence, sexual content, nudity, language and drug material)
                    ",Jacques Audiard,NA,NA,Jacques Audiard,Thomas Bidegain,Nicolas Peufaillit,Abdel Raouf Dafri,"Feb 26, 2010
                        ","Aug 3, 2010
                        ","
                            155 minutes
                        ","
                        Sony Pictures Classics
                    ","
                Tahar Rahim
            ","
                Niels Arestrup
            ","
                Adel Bencherif
            ","
                Reda Kateb
            ","
                Hichem Yacoubi
            ","
                Jean-Philippe Ricci
            ","
                                A Prophet (Un prophete)
                            ",2010,"Featuring an impressive star turn by newcomer Tahar Rahim, A Prophet is a French gangster film filled with arresting, immediate details.","
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",97,158,89,24,141460.0,8.29,8.44,48,4.13,7356,873,6716,https://www.rottentomatoes.com/m/1213205-prophet
"
                In the crime melodrama, Saint Jack by director Peter Bogdanovich, Ben Gazzara plays an American pimp, operating in Singapore. Seeking independence from the local mob, Gazzara is browbeaten--and sometimes just beaten--by the criminal powers-that-be. Resignedly, Gazzara goes to work for a fellow American mobster (played by director Bogdanovich, who is appropriately slimy) and ordered to photograph a crime-fighting senator (George Lazenby) in a compromising position. Gazzara finally develops a conscience, a shade too late. Filmed on location, Saint Jack was produced by the director's former mentor Roger Corman.
            ","R (violence, language, nudity)
                    ",Peter Bogdanovich,NA,NA,Peter Bogdanovich,Paul Theroux,NA,NA,"Jan 1, 1979
                        ","Jan 23, 2001
                        ","
                            112 minutes
                        ","
                        New Concorde Home Entertainment
                    ","
                Ben Gazzara
            ","
                Denholm Elliott
            ","
                James Villiers
            ","
                Joss Ackland
            ","
                Rodney Bewes
            ","
                Mark Kingston
            ","
                                Saint Jack
                            ",1979,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",67,15,75,714,132999.0,6.13,4.12,4,3.82,51,17,90,https://www.rottentomatoes.com/m/saint_jack
"
                Based on a story by Munshi Premchand, and much influenced by Vsevolod Pudovkin's 1925 film Chess Fever, this satirical film by noted Indian director Satyajit Ray is set in colonial India in 1856. The British Resident of the East India Company (Richard Attenborough) has observed that the monarch of Lucknow, which is in his trading region, seems to be completely uninterested in government. He tries to arrange things so that he can annex the province. Embroiled in a long-running chess rivalry, two local noblemen (played by Sanjeev Kumar and Saeed Jaffrey) cannot be bothered with such minor issues as who is governing whom. Meanwhile, conditions in the kingdom go from bad to worse. ~ Clarke Fountain, Rovi
            ","NR
                    ",Satyajit Ray,NA,NA,Munshi Premchand,NA,NA,NA,"Sep 19, 1978
                        ","Apr 18, 2006
                        ","
                            129 minutes
                        ","
                        Creative
                    ","
                Richard Attenborough
            ","
                Amjad Khan
            ","
                Sanjeev Kumar
            ","
                Saeed Jaffrey
            ","
                Shabana Azmi
            ","
                Farida Jalal
            ",The Chess Players (Shatranj Ke Khiladi),NA,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",89,9,87,1,132116.0,6.94,6.75,3,4.03,161,26,131,https://www.rottentomatoes.com/m/the_chess_players
"
                In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
            ","PG-13
                    ",Fritz Lang,NA,NA,Thea von Harbou,Fritz Lang,NA,NA,"Mar 13, 1927
                        ","Feb 18, 2003
                        ","
                            115 minutes
                        ","
                        Paramount Pictures
                    ","
                Alfred Abel
            ","
                Gustav Frolich
            ","
                Gustav Frhlich
            ","
                Brigitte Helm
            ","
                Rudolf Klein-Rogge
            ","
                Theodor Loos
            ",Metropolis,NA,A visually awe-inspiring science fiction classic from the silent era.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",97,126,92,62,132143.0,9.1,9.25,38,4.37,12387,1145,13651,https://www.rottentomatoes.com/m/1013775-metropolis
"
                Based on the arresting true story of the Executioner of Emsland, The Captain follows a German army deserter, Willi Herold (Max Hubacher), after he finds an abandoned Nazi captain's uniform in the final weeks of World War II. Emboldened by the authority the uniform grants him, he amasses a band of stragglers who cede to his command despite the suspicions of some. Citing direct orders from the Fuhrer himself, he soon takes command of a camp holding German soldiers accused of desertion and begins to dispense harsh justice. Increasingly intoxicated by the unquestioned authority, this enigmatic imposter soon discovers that many people will blindly follow the leader, whomever that happens to be. Simultaneously a historical docudrama and sociological examination with undertones of the absurd, The Captain presents fascism as something of a game to be played by those most gullible and unscrupulous.
            ","NR
                    ",Robert Schwentke,NA,NA,Robert Schwentke,NA,NA,NA,"Jul 27, 2018
                        ","Nov 27, 2018
                        ","
                            118 minutes
                        ","
                        Music Box Films
                    ","
                Max Hubacher
            ","
                Milan Peschel
            ","
                Frederick Lau
            ","
                Bernd Hlscher
            ","
                Waldemar Kobus
            ","
                Alexander Fehling
            ",The Captain (Der Hauptmann),NA,The Captain makes chillingly persuasive points about the dark side of human nature -- and underscores how little certain tendencies ever really change.,"
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",83,53,82,617,136458.0,7.57,7,18,3.98,126,27,1155,https://www.rottentomatoes.com/m/the_captain_2017
"
                Romance begins busting out all over in Rochefort. A fair is being organized, giving the town an air of excitement and effervescence. Twin sisters Delphine, a dance teacher, and Solange, a pianist and a composer, dream of making it big in the world of music. The sisters, like many in Rochefort, including a dashing American pianist, are looking for love, without realizing that their ideal partners are right before their eyes.
            ","G
                    ",Jacques Demy,NA,NA,Jacques Demy,NA,NA,NA,"Apr 11, 1968
                        ","Jan 22, 2002
                        ","
                            124 minutes
                        ","
                        Miramax-Zoe
                    ","
                Catherine Deneuve
            ","
                Franoise Dorlac
            ","
                Gene Kelly
            ","
                Danielle Darrieux
            ","
                George Chakiris
            ","
                Grover Dale
            ",The Young Girls of Rochefort (Les Demoiselles de Rochefort),NA,The Young Girls of Rochefort pays colorful homage to classic Hollywood musicals while earning its own emotionally affecting place of honor in the genre.,"
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Musical & Performing Arts, 
                        
                        Romance
                        
                    ",98,43,84,4,132767.0,7.97,8.77,15,4.1,620,117,534,https://www.rottentomatoes.com/m/the_young_girls_of_rochefort
"
                In The Father (Apa), Hungarian filmmaker Istvan Szabo invests a great deal of poetry and warmth in a story that, in lesser hands, might have become a wallow in bathos. After his father is killed in World War II, a young Hungarian boy named Tako concocts a fantasy image of the parent he never really knew. Convincing himself of his father's unstinting bravery, the boy grows into a man (Andras Balint) who hopes to emulate his dad's heroism. During the 1956 uprising, our hero falls in love with Jewish refugee Anni (Kati Solyom). Apprised of the horrors experienced by Anni's people during the Holocaust, Tako decides to find out whether or not his father was truly the noble warrior he's imagined him to be. It turns out that the father was neither wholly good nor wholly evil, just an average Hungarian hoping to make the best of a difficult world. At long last, Tako is able to divest himself of his father's shadow and become a man on his own terms. ~ Hal Erickson, Rovi
            ","PG-13
                    ",Istvn Szab,NA,NA,Istvn Szab,NA,NA,NA,"Oct 4, 1967
                        ","Aug 3, 2004
                        ","
                            89 minutes
                        ","
                        Continental Distributing Inc.
                    ","
                Andrs Blint
            ","
                Mikls Gbor
            ","
                Klri Tolnay
            ","
                Daniel Erdelyi
            ","
                Kati Slyom
            ","
                Zsuzsa Rathonyi
            ",Father (Father: Diary of One Week),NA,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",100,5,77,372,134050.0,7,0,2,3.92,20,6,20,https://www.rottentomatoes.com/m/father-father-diary-of-one-week
"
                Set in Spain, this is a generational story of three women: a good mother who is desperately in love with a man who is far from being a saint; a young mother carrying a hard life upon her shoulders; and an illegal hairdresser whose shop is the meeting point for all the neighborhood gossips.
            ","R (for some sexual content and language)
                    ",Pedro Almodvar,NA,NA,Pedro Almodvar,NA,NA,NA,"Nov 3, 2006
                        ","Apr 3, 2007
                        ","
                            120 minutes
                        ","
                        Sony Pictures Classics
                    ","
                Penelope Cruz
            ","
                Carmen Maura
            ","
                Lola Dueas
            ","
                Blanca Portillo
            ","
                Blanca Portilla
            ","
                Yohana Cobo
            ","
                                Volver
                            ",2006,"Volver catches director Pedro Almodovar and star Penelope Cruz at the peak of their respective powers, in service of a layered, thought-provoking film.","
                        
                        Art House & International, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",91,171,89,71,141401.0,7.82,7.84,51,4.12,19606,2488,13049,https://www.rottentomatoes.com/m/volver
