description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Nightmare Alley is the story of a con man who recruits a couple of amatuers as his partners.
            ","NR
                    ",Edmund Goulding,NA,NA,Jules Furthman,NA,NA,NA,"Jan 28, 1947
                        ","Jun 7, 2005
                        ","
                            111 minutes
                        ","
                        20th Century Fox
                    ","
                Tyrone Power
            ","
                Joan Blondell
            ","
                Coleen Gray
            ","
                Helen Walker
            ","
                Taylor Holmes
            ","
                Mike Mazurki
            ","
                                Nightmare Alley
                            ",1947,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama
                        
                    ",100,11,87,1,133474,7.78,7.5,3,4.01,288,44,250,https://www.rottentomatoes.com/m/1144535-nightmare_alley
"
                This horror science-fiction thriller, a cult favorite, takes place in 1907. Professor Caxton (Christopher Lee), a fossil-hunter has discovered some sort of pre-human creature frozen in ancient Manchurian ice. He is traveling to London with his find on the Trans-Siberian Railway and is horrified to discover that his frozen man is missing, and corpses and zombies are appearing all over the train. It turns out that the frozen specimen is an alien with some unusual powers. The combined forces of Professor Caxton, his rival Dr. Wells (Peter Cushing), and a Cossack captain (Telly Savalas) are needed to save the world from this monstrous being. Skillfully told, with a good dose of humor, this film also features the train which appeared a year before in Nicholas and Alexandra .
            ","R
                    ",Eugenio Martn,NA,NA,Eugenio Martn,Arnaud d'Usseau,Julian Halevy,Julian Zimet,"Jan 3, 1974
                        ","Aug 5, 1997
                        ","
                            98 minutes
                        ","
                        Scott Entertainment
                    ","
                Christopher Lee
            ","
                Peter Cushing
            ","
                Telly Savalas
            ","
                Silvia Tortosa
            ","
                Alberto de Mendoza
            ","
                George Rigaud
            ","
                                Horror Express
                            ",1974,No consensus yet.,"
                        
                        Classics, 
                        
                        Horror, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",67,9,52,4,133538,6.62,0,1,3.35,251,232,557,https://www.rottentomatoes.com/m/horror_express
"
                Based on Terence Rattigan's play, Separate Tables is about a number of characters and their adventures at a British seaside hotel. Among the guests are an alleged war hero (David Niven), a timid spinster (Deborah Kerr) and her domineering mother (Gladys Cooper), and a divorced couple (Burt Lancaster, Rita Hayworth) trying to re-ignite their romance despite the presence of his mistress (Wendy Hiller). All of the characters' lives become intertwined in the course of the film as the story examines love affairs and secrets. Separate Tables is a fine, textured drama, filled with terrific performances and was nominated for several Academy Awards, including Best Picture, Best Actress (Deborah Kerr), Best Actor (David Niven), Best Supporting Actress (Wendy Hiller), Best Screenplay From Another Medium, Best Cinematography and Best Music. Niven and Hiller won Oscars for the film.
            ","G
                    ",Delbert Mann,NA,NA,John Gay,Terence Rattigan,NA,NA,"Dec 18, 1958
                        ","Dec 11, 2001
                        ","
                            100 minutes
                        ","
                        MGM Home Entertainment
                    ","
                David Niven
            ","
                Wendy Hiller
            ","
                Rita Hayworth
            ","
                Burt Lancaster
            ","
                Deborah Kerr
            ","
                Gladys Cooper
            ","
                                Separate Tables
                            ",1958,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama
                        
                    ",69,16,77,1,132494,7.67,0,0,3.76,179,53,195,https://www.rottentomatoes.com/m/1018587-separate_tables
"
                Arthur Penn directed this powerful film version of William Gibson's play about the adolescent Helen Keller, a deaf-mute sealed off from society in her own world, and Annie Sullivan, the teacher who works with Helen to teach her how to communicate with others. Originally presented on television in 1957, the story was transferred to the Broadway stage and became a major success, starring Patty Duke as Helen Keller and Anne Bancroft as Annie Sullivan. Duke and Bancroft re-created their stage roles for this film version, earning them both Academy Awards. Helen Keller is first seen in her Tuscumbia, Alabama home, groping around in her own silent world. Annie Sullivan comes to Tuscumbia to teach Helen to communicate through sign language. Annie immediately sees the main hurdle is to keeping Helen away from her overly loving mother Kate (Inga Swenson) and imperious father (Victor Jory). The parents agree to allow Annie to stay with Helen alone for a few weeks at a small building on Captain Keller's property. Confined together, Annie manages to teach Helen how to dress herself and to recite the alphabet by touch. But Annie hits a stone wall when she tries to get Helen to understand the connection between the alphabet and what the letters represent. The Kellers now take Helen back home and she rapidly slips back into her old patterns. But one night at the dinner table, Helen knocks over the water pitcher and Annie forcibly drags Helen outside to the water pump to refill the pitcher. It is there that a transcendent revelation occurs for Helen.
            ","NR
                    ",Arthur Penn,NA,NA,William Gibson,NA,NA,NA,"Jul 28, 1962
                        ","Mar 6, 2001
                        ","
                            107 minutes
                        ","
                        MGM Home Entertainment
                    ","
                Anne Bancroft
            ","
                Patty Duke Astin
            ","
                Patty Duke
            ","
                Inga Swenson
            ","
                Victor Jory
            ","
                Andrew Prine
            ","
                                The Miracle Worker
                            ",1962,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama
                        
                    ",100,23,88,8,132986,7.95,7.5,4,4.2,1009,139,954,https://www.rottentomatoes.com/m/1013973-miracle_worker
"
                Based on the novel by John Le Carre, The Spy Who Came in from the Cold stars Richard Burton as a dispirited, end-of-tether British secret agent. He comes in from ""the cold"" (meaning he is pulled out of field operations) to act as a undercover man behind the Iron Curtain. To make his staged defection seem genuine, Burton goes on an alcoholic toot and is imprisoned and publicly humiliated. Once he has been accepted into East German espionage circles, Burton discovers that what he thought was his mission was a mere subterfuge--and that he's been set up as a pawn for an entirely different operation. Though Ireland and England ""stand in"" for East Berlin, Spy Who Came In From the Cold has the air of authenticity throughout, thanks in great part to the bleak black and white photography by Oswald Morris. The film was condemned as incomprehensible by those filmgoers accustomed to the simplistic melodramatics of James Bond; seen today, the double-crosses and double-double crosses seem all too clear and credible.
            ","NR
                    ",Martin Ritt,NA,NA,Guy Trosper,Paul Dehn,NA,NA,"Jan 1, 1965
                        ","Jul 13, 2004
                        ","
                            112 minutes
                        ","
                        Paramount Pictures
                    ","
                Richard Burton
            ","
                Claire Bloom
            ","
                Oskar Werner
            ","
                Cyril Cusack
            ","
                Peter van Eyck
            ","
                Sam Wanamaker
            ","
                                The Spy Who Came In from the Cold
                            ",1965,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",87,15,82,5,132660,7.67,6.38,4,3.9,687,153,852,https://www.rottentomatoes.com/m/the_spy_who_came_in_from_the_cold
"
                When a young girl is found hanging in the local church with fang marks in her neck, the townsfolk immediately suspect Dracula (Christopher Lee) is behind the evil deed. Although he has supposedly been dead for quite some time, the vile vampire is the prime suspect. The Monsignor (Rupert Davies) is called in to exorcise the local castle where Dracula once lived. The diabolical Dracula forces the holy man's assistant to help him in his thirst for blood. His next victim is the Monsignor's niece, who works at the local pub. The prince of darkness meets his demise when he is impaled on a crucifix -- at least until he can find another script that he and his agent can agree on.
            ","G
                    ",Freddie Francis,NA,NA,John Elder,Anthony Hinds,NA,NA,"Feb 6, 1969
                        ","Apr 27, 2004
                        ","
                            92 minutes
                        ","
                        Warner Brothers/Seven Arts
                    ","
                Christopher Lee
            ","
                Veronica Carlson
            ","
                Rupert Davies
            ","
                Barry Andrews
            ","
                Barbara Ewing
            ","
                Ewan Hooper
            ",Dracula Has Risen From the Grave,NA,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama, 
                        
                        Horror, 
                        
                        Romance
                        
                    ",80,15,61,4,135061,6.68,2.5,1,3.45,282,182,504,https://www.rottentomatoes.com/m/dracula_has_risen_from_the_grave
"
                William Humphrey's novel Home From the Hill is compressed into 150 minutes for this MGM all-starrer. Robert Mitchum plays Capt. Wade Hunnicutt, a Texas millionaire, married to Hannah (Eleanor Parker). The Hunnicutts have two children of approximately the same age: Wade's biological son, Theron (George Hamilton in one of his earliest film roles), and his illegitimate son, Rafe (George Peppard). As the story opens, Wade conducts an extramarital affair; meanwhile, Theron (George Hamilton), disturbed by his parents' dysfunctional relationship, is not anxious to marry his true love, Libby Halstead (Luana Patten). The vicious cycle threatens to continue when Libby gives birth to Theron's out-of-wedlock son, but it is Rafe who turns Libby into an ""honest woman"" by acting as father to the child. Vincente Minnelli directs his material operatically, which is as it should be given the larger-than-life character and emotional entanglements he has to deal with.
            ","NR
                    ",Vincente Minnelli,NA,NA,Irving Ravetch,Harriet Frank Jr. / Irving Ravetch,NA,NA,"May 19, 1960
                        ","Jan 23, 2007
                        ","
                            150 minutes
                        ","
                        Warner Home Video
                    ","
                Robert Mitchum
            ","
                Eleanor Parker
            ","
                George Peppard
            ","
                George Hamilton
            ","
                Everett Sloane
            ","
                Luana Patten
            ","
                                Home from the Hill
                            ",1960,No consensus yet.,"
                        
                        Classics, 
                        
                        Drama
                        
                    ",90,10,92,527,134930,8.08,0,1,4.12,86,7,114,https://www.rottentomatoes.com/m/home_from_the_hill
"
                Pat (Katharine Hepburn), a college phys-ed instructor, enters into professional competition as a golf and tennis player. Mike (Spencer Tracy), a likeable but unscrupulous sports promoter, first attempts to bribe Pat to lose, but later becomes her manager. Pat performs brilliantly until her insufferable fiance Collier West (William Ching) shows up; West always manages to make Pat so nervous that she can't win to save her life. At long last, West walks out, having found Pat in a compromising situation with Mike. Though she'd previously kept her distance from Mike, Pat suddenly realizes that she's fallen in love with him and--after a few crooked gamblers are disposed of--Pat and Mike become partners on a permanent basis. Pat & Mike reunited Tracy and Hepburn with their favorite director, George Cukor, and their favorite scenarists, Ruth Gordon and Garson Kanin. Watch for real-life golf and tennis champs Gussie Moran, Babe Didrickson Zaharias, Don Budge, Alice Marble, Frank Parker, Betty Hicks, Helen Dettweilerand Beverly Hanson as ""themselves"" -- and also keep an eye out for ex-ballplayer Chuck Connors, making his acting debut as a highway patrolman.
            ","NR
                    ",George Cukor,NA,NA,Ruth Gordon,Garson Kanin,NA,NA,"Jun 13, 1952
                        ","Sep 19, 2000
                        ","
                            95 minutes
                        ","
                        MGM Home Entertainment
                    ","
                Spencer Tracy
            ","
                Katharine Hepburn
            ","
                Aldo Ray
            ","
                William Ching
            ","
                Sammy White
            ","
                George Mathews
            ",Pat and Mike,NA,Katharine Hepburn and Spencer Tracy take competition to a romantic-comic highpoint in this elegantly directed sports comedy by George Cukor.,"
                        
                        Classics, 
                        
                        Comedy, 
                        
                        Romance
                        
                    ",90,21,69,3,132968,7.38,7.29,8,3.66,248,112,345,https://www.rottentomatoes.com/m/pat_and_mike
"
                Elaine May wrote and directed (credits May attempted to have removed after the studio made extensive cuts in the film) this dark and funny comedy about marriage, murder, and money. May also stars as Henrietta, a shy and clumsy wallflower, who is also heir to a large pile of money. Indigent playboy Graham (Walter Matthau), who has squandered his inherited trust fund and needs to get a new source of money, begins to ply his affections upon Henrietta. When his butler (George Rose) recommends that Graham should marry Henrietta and gain control of her funds, Graham borrows money from his miserable uncle (James Coco) and wines and dines Henrietta. Graham's dastardly plan is to marry Henrietta, take her off on a trip to the mountains, and murder her. Graham can then return from her funeral and inherit his wealth. But thrown into his path toward the perfect murder are a collection of Henrietta's loyal -- and not so loyal -- retainers and the small dim light of Graham's own conscience.
            ","G
                    ",Elaine May,NA,NA,Elaine May,NA,NA,NA,"Mar 11, 1971
                        ","Apr 23, 2014
                        ","
                            102 minutes
                        ","
                        Howard W. Koch Productions
                    ","
                Walter Matthau
            ","
                Elaine May
            ","
                Jack Weston
            ","
                James Coco
            ","
                George Rose
            ","
                William Redfield
            ","
                                A New Leaf
                            ",1971,No consensus yet.,"
                        
                        Classics, 
                        
                        Comedy, 
                        
                        Romance
                        
                    ",100,35,84,996,132951,7.99,9.33,7,4.04,214,42,212,https://www.rottentomatoes.com/m/new_leaf
"
                In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
            ","PG-13
                    ",Fritz Lang,NA,NA,Thea von Harbou,Fritz Lang,NA,NA,"Mar 13, 1927
                        ","Feb 18, 2003
                        ","
                            115 minutes
                        ","
                        Paramount Pictures
                    ","
                Alfred Abel
            ","
                Gustav Frolich
            ","
                Gustav Frhlich
            ","
                Brigitte Helm
            ","
                Rudolf Klein-Rogge
            ","
                Theodor Loos
            ",Metropolis,NA,A visually awe-inspiring science fiction classic from the silent era.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",97,126,92,62,132143,9.1,9.25,38,4.37,12387,1145,13651,https://www.rottentomatoes.com/m/1013775-metropolis
