description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                A blowout Las Vegas bachelor party turns into a race against time when three hung-over groomsmen awaken after a night of drunken debauchery to find that the groom has gone missing, and attempt to get him to the alter in time for his wedding. In 48 hours, Doug is scheduled to walk down the aisle, effectively ending his reign as a rowdy bachelor. Realizing that this is their last blowout with their best friend, Doug's groomsmen organize a Sin City bachelor bash he'll never forget. The next morning, the groomsmen come to in their Caesar's Palace suite to find a tiger in the bathroom and a six-month-old baby tucked away in the closet. Unfortunately, Doug is nowhere to be found. With no memory of the previous night's transgressions and precious little time to spare, the trio sets out in a hazy attempt to retrace their steps and discover exactly where things went wrong. Will they find Doug in time to get him to the wedding back in Los Angeles, or will his bride experience the sharp sting of disappointment when she walks down the aisle to discover that her future husband is nowhere to be found? Bradley Cooper, Ed Helms, Zach Galifianakis, and Heather Graham star in a rambunctious comedy from Old School director Todd Phillips. ~ Jason Buchanan, Rovi
            ","R (for pervasive language, sexual content including nudity, and some drug material)
                    ",Todd Phillips,NA,NA,Jon Lucas,Todd Phillips,Scott Moore,NA,"Jun 5, 2009
                        ","Dec 15, 2009
                        ","
                            100 minutes
                        ","
                        Warner Bros. Pictures
                    ","
                Bradley Cooper
            ","
                Ed Helms
            ","
                Zach Galifianakis
            ","
                Justin Bartha
            ","
                Heather Graham
            ","
                Sasha Barrese
            ","
                                The Hangover
                            ",2009,"With a clever script and hilarious interplay among the cast, The Hangover nails just the right tone of raunchy humor, and the non-stop laughs overshadow any flaw.","
                        
                        Comedy
                        
                    ",78,238,84,943,141385,6.79,6.68,51,4.08,108560,20555,340982,https://www.rottentomatoes.com/m/10010667-hangover
"
                For the seven kids of George Khan - proud Pakistani and chip shop owner - life is one long compromise. Tomboy Meenah prefers playing footsie to wearing a sari, hippie Saleem pretends to be studying engineering when he's really at art school, heart-throb Tariq has got a reputation as a local Casanova, and Sajid hasn't even been circumcised yet. For George Khan ('Ghengis' to his kids), life is an uphill battle to get his family to conform to traditional Pakistani values. But this is Salford in the 1970s. George's English wife Ella is Lancashire born, and his kids have got minds of their own. With one disastrous arranged marriage already in the family - Nazir fled at the altar to become a milliner in Eccles - George plots to bring his next two sons into line by marrying them off to the daughters of Mr. Shah, Master Butcher and proud owner of an extended home in Bradford. East is East is the often hilarious and sometimes painful story of what happens when two cultures collide within one family. In the Khan's cramped terraced house with its scant indoor plumbing, anarchy erupts on a daily basis. When the Khan kids begin to oppose their father's petty tyrannies, Ella is forced to make a choice between her love for her husband and the right of her children to make their own ways in the world.
            ","R (for language, sexual content and some domestic violence)
                    ",Damien O'Donnell,NA,NA,Ayub Khan-Din,NA,NA,NA,"Sep 4, 1999
                        ","Sep 12, 2000
                        ","
                            96 minutes
                        ","
                        Miramax Films
                    ","
                Om Puri
            ","
                Linda Bassett
            ","
                Jordan Routledge
            ","
                Archie Panjabi
            ","
                Emil Marwa
            ","
                Chris Bisson
            ","
                                East Is East
                            ",1999,No consensus yet.,"
                        
                        Comedy
                        
                    ",78,32,78,12,134859,7.1,6.79,7,3.88,1404,391,1022,https://www.rottentomatoes.com/m/east_is_east
"
                Beginners imaginatively explores the hilarity, confusion, and surprises of love through the evolving consciousness of Oliver (Ewan McGregor). Oliver meets the irreverent and unpredictable Anna (Mlanie Laurent) only months after his father Hal (Christopher Plummer) has passed away. This new love floods Oliver with memories of his father who - following 44 years of marriage - came out of the closet at age 75 to live a full, energized, and wonderfully tumultuous gay life. The upheavals of Hal's new honesty, by turns funny and moving, brought father and son closer than they'd ever been able to be. Now Oliver endeavors to love Anna with all the bravery, humor, and hope that his father taught him. -- (c) IFC
            ","R (for language and some sexual content)
                    ",Mike Mills,NA,NA,Mike Mills,NA,NA,NA,"Jun 3, 2011
                        ","Nov 15, 2011
                        ","
                            104 minutes
                        ","
                        Focus Features
                    ","
                Ewan McGregor
            ","
                Christopher Plummer
            ","
                Goran Visnjic
            ","
                Kai Lennox
            ","
                Mary Page Keller
            ","
                Mlanie Laurent
            ","
                                Beginners
                            ",2011,"Wearing its twee heart on its sleeve, Beginners explores the depths of modern, multi-generational romance with wit and depth.","
                        
                        Comedy, 
                        
                        Drama
                        
                    ",85,159,77,25,141485,7.44,7.67,47,3.78,7895,2357,9349,https://www.rottentomatoes.com/m/beginners
"
                When Brad Sloan (Ben Stiller) accompanies his college bound son to the East Coast, the visit triggers a crisis of confidence in Brad's Status, writer and director Mike White's bittersweet comedy. Brad has a satisfying career and a comfortable life in suburban Sacramento where he lives with his sweet-natured wife, Melanie (Jenna Fischer), and their musical prodigy son, Troy (Austin Abrams), but it's not quite what he imagined during his college glory days. Showing Troy around Boston, where Brad went to university, he can't help comparing his life with those of his four best college friends: a Hollywood bigshot (White), a hedge fund founder (Luke Wilson), a tech entrepreneur (Jemaine Clement), and a political pundit and bestselling author (Michael Sheen). As he imagines their wealthy, glamorous lives, he wonders if this is all he will ever amount to. But when circumstances force him to reconnect with his former friends, Brad begins to question whether he has really failed or is, in some ways at least, the most successful of them all.
            ","R (for language)
                    ",Mike White,NA,NA,Mike White,NA,NA,NA,"Sep 15, 2017
                        ","Jan 2, 2018
                        ","
                            101 minutes
                        ","
                        Amazon Studios
                    ","
                Ben Stiller
            ","
                Austin Abrams
            ","
                Michael Sheen
            ","
                Luke Wilson
            ","
                Jenna Fischer
            ","
                Jemaine Clement
            ",Brad's Status,NA,Brad's Status transcends its familiar premise with insightful observations and affecting interplay between stars Ben Stiller and Austin Abrams.,"
                        
                        Comedy, 
                        
                        Drama
                        
                    ",80,171,55,4,136390,6.84,7.34,38,3.22,481,401,3685,https://www.rottentomatoes.com/m/brads_status
"
                A top London cop who is so good at his job that he makes his fellow officers look like slackers by comparison is ""promoted"" to serve in the sleepy village of Sandford in this contemporary action comedy from the creators of Shaun of the Dead. Police constable Nicholas Angel (Simon Pegg) always gets his man, but these days his impeccable record seems to be more indicative of his fellow officers' shortcomings than his own formidable skills as a keeper of the peace. Loathe to stand idly by as their once respectable track record is steadily soiled by the hyper-competent actions of one lone overachiever, Sergeant Angel's superiors at the Met soon determine to remedy their problem by relocating the decorated constable to the West Country village of Sanford -- where tranquil garden parties and neighborhood watch meetings stand in stark contrast to the violent crime and heated gunplay of the city. As Sergeant Angel does his best to adjust to the relative calm of his new environment, his oafish new partner Danny Butterman (Nick Frost) strives to gain the respect of his fellow constables while sustaining himself on fantasies of his favorite action films and police shows. Later, just as it begins to appear as if Sergeant Angel has been relegated to an uneventful existence in the relative calm of the countryside, a series of horrific ""accidents"" lead him to suspect that the tranquil hamlet of Sanford has fallen prey to a sinister plot which reeks of foul play. Jim Broadbent, Timothy Dalton, Steve Coogan, and Martin Freeman co-star in the Edgar Wright film. ~ Jason Buchanan, Rovi
            ","R (for violent content including some graphic images, and language)
                    ",Edgar Wright,NA,NA,Edgar Wright,Simon Pegg,NA,NA,"Apr 20, 2007
                        ","Jul 31, 2007
                        ","
                            121 minutes
                        ","
                        Rogue Pictures/Focus Features
                    ","
                Simon Pegg
            ","
                Nick Frost
            ","
                Jim Broadbent
            ","
                Steve Coogan
            ","
                Edward Woodward
            ","
                Paddy Considine
            ","
                                Hot Fuzz
                            ",2007,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,"
                        
                        Action & Adventure, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",91,203,89,565,141399,7.65,7.22,53,4.21,124848,14876,132451,https://www.rottentomatoes.com/m/hot_fuzz
"
                The quintessential ""talk"" film. Theater director Andre Gregory meets his old friend actor/playwright Wallace Shawn at an upscale New York restaurant to catch up on each other's lives. Gregory has travelled the world in search of alternate methods of creative and spiritual expression. Shawn plays straight man (and devil's advocate) in this unusual conversation and reminds Gregory of the more down-to-earth pleasures of New York life. While Shawn is a pragmatist, he is understandably impressed by Gregory's exploits. The screenplay was also written by Gregory and Shawn, a ""best-of"" collection of several tape-recorded conversations between the two. Director Louis Malle provides appropriately minimal direction. Gregory, Shawn and Malle collaborated again in Vanya on 42nd Street.
            ","PG
                    ",Louis Malle,NA,NA,Wallace Shawn,Andre Gregory,NA,NA,"Oct 11, 1981
                        ","Feb 13, 2001
                        ","
                            110 minutes
                        ","
                        New Yorker Films
                    ","
                Wallace Shawn
            ","
                Andre Gregory
            ","
                Jean Lenauer
            ","
                Roy Butler
            ",NA,NA,"
                                My Dinner with Andr
                            ",1981,No consensus yet.,"
                        
                        Comedy, 
                        
                        Drama
                        
                    ",92,24,85,7,133451,7.3,10,1,4.14,1333,232,1397,https://www.rottentomatoes.com/m/my_dinner_with_andre
"
                When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.
            ","PG (for brief mild violence)
                    ",Nathan Greno,Byron Howard,NA,Jacob Grimm,Dan Fogelman,NA,NA,"Nov 24, 2010
                        ","Mar 29, 2011
                        ","
                            100 minutes
                        ","
                        Walt Disney Pictures
                    ","
                Zachary Levi
            ","
                Donna Murphy
            ","
                Ron Perlman
            ","
                M.C. Gainey
            ","
                Jeffrey Tambor
            ","
                Brad Garrett
            ",Tangled,NA,"While far from Disney's greatest film, Tangled is a visually stunning, thoroughly entertaining addition to the studio's classic animated canon.","
                        
                        Animation, 
                        
                        Comedy, 
                        
                        Kids & Family, 
                        
                        Musical & Performing Arts
                        
                    ",89,225,87,150,141448,7.49,7.17,50,4.16,52219,7880,45838,https://www.rottentomatoes.com/m/tangled
"
                In this wickedly funny screwball satire, Mel Coplin, his wife, their four-month-old baby, and an adoption agency psychologist embark on a zany quest to find Mel's biological parents. Wanting to meet his real parents before naming his son, Mel drags his family all over the country before finding them.
            ","R
                    ",David O. Russell,NA,NA,David O. Russell,NA,NA,NA,"Mar 22, 1996
                        ","Jun 15, 1999
                        ","
                            93 minutes
                        ","
                        Miramax Films
                    ","
                Ben Stiller
            ","
                Patricia Arquette
            ","
                Ta Leoni
            ","
                Mary Tyler Moore
            ","
                George Segal
            ","
                Alan Alda
            ","
                                Flirting With Disaster
                            ",1996,"Darkly funny, solidly cast, and surprisingly thoughtful, Flirting with Disaster proved David O. Russell's Spanking the Monkey was no fluke.","
                        
                        Comedy
                        
                    ",87,53,69,9,133968,7.49,8.39,10,3.61,1184,539,1633,https://www.rottentomatoes.com/m/flirting_with_disaster
"
                In this film, wimpy millionaire Alfred Butler goes on a vacation in the mountains with his faithful valet. While communing with nature, Alfred falls in love with a beautiful young girl. Without his master's knowledge, the valet tells the girl that Alfred is boxing champion Battling Butler.
            ","NR
                    ",Buster Keaton,NA,NA,Al Boasberg,Lex Neal,Ballard MacDonald,Charles H. Smith,"Jan 1, 1926
                        ","Oct 26, 1999
                        ","
                            68 minutes
                        ","
                        MGM
                    ","
                Buster Keaton
            ","
                Sally O'Neil
            ","
                Snitz Edwards
            ","
                Francis McDonald
            ","
                Mary Crean O'Brien
            ","
                Tom Wilson
            ",Battling Butler,NA,No consensus yet.,"
                        
                        Classics, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",78,9,75,684,133480,6.39,2.5,1,3.71,91,31,97,https://www.rottentomatoes.com/m/battling_butler
"
                Set in Spain, this is a generational story of three women: a good mother who is desperately in love with a man who is far from being a saint; a young mother carrying a hard life upon her shoulders; and an illegal hairdresser whose shop is the meeting point for all the neighborhood gossips.
            ","R (for some sexual content and language)
                    ",Pedro Almodvar,NA,NA,Pedro Almodvar,NA,NA,NA,"Nov 3, 2006
                        ","Apr 3, 2007
                        ","
                            120 minutes
                        ","
                        Sony Pictures Classics
                    ","
                Penelope Cruz
            ","
                Carmen Maura
            ","
                Lola Dueas
            ","
                Blanca Portillo
            ","
                Blanca Portilla
            ","
                Yohana Cobo
            ","
                                Volver
                            ",2006,"Volver catches director Pedro Almodovar and star Penelope Cruz at the peak of their respective powers, in service of a layered, thought-provoking film.","
                        
                        Art House & International, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",91,171,89,71,141401,7.82,7.84,51,4.12,19606,2488,13049,https://www.rottentomatoes.com/m/volver
