description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Abel is in France during WW II and is falsely accused and convicted of rape. During the war he is freed by German invaders who give him a job riding out to kidnap boys suitable for being trained in the SS. Eventually Abel gets a chance to redeem himself.
            ","R (for some violence/disturbing images and a scene of sexuality)
                    ",Volker Schlndorff,NA,NA,NA,NA,NA,NA,"Jan 8, 1999
                        ","May 9, 2000
                        ","
                            118 minutes
                        ","
                        Kino
                    ","
                John Malkovich
            ","
                Gottfried John
            ","
                Marianne Sgebrecht
            ","
                Armin Mueller-Stahl
            ","
                Caspar Salmon
            ","
                Volker Spengler
            ",Der Unhold (The Ogre),NA,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",89,9,72,643,132047,7,7.5,3,3.68,90,35,140,https://www.rottentomatoes.com/m/1089805-ogre
"
                Caius Martius 'Coriolanus' (Ralph Fiennes), a revered and feared Roman General is at odds with the city of Rome and his fellow citizens. Pushed by his controlling and ambitious mother Volumnia (Vanessa Redgrave) to seek the exalted and powerful position of Consul, he is loath to ingratiate himself with the masses whose votes he needs in order to secure the office. When the public refuses to support him, Coriolanus's anger prompts a riot that culminates in his expulsion from Rome. The banished hero then allies himself with his sworn enemy Tullus Aufidius (Gerard Butler) to take his revenge on the city. -- (C) Weinstein Co
            ","R (for some bloody violence)
                    ",Ralph Fiennes,NA,NA,John Logan,NA,NA,NA,"Jan 13, 2011
                        ","May 29, 2012
                        ","
                            124 minutes
                        ","
                        The Weinstein Company
                    ","
                Ralph Fiennes
            ","
                Gerard Butler
            ","
                Vanessa Redgrave
            ","
                Brian Cox
            ","
                Jessica Chastain
            ","
                John Kani
            ","
                                Coriolanus
                            ",2011,"Visceral and visually striking, Ralph Fiennes' Coriolanus proves Shakespeare can still be both electrifying and relevant in a modern context.","
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",92,151,58,13,136279,7.38,7.6,48,3.33,2673,1936,7692,https://www.rottentomatoes.com/m/coriolanus_2010
"
                The most famed and well-regarded collaboration between New German Cinema director Werner Herzog and his frequent leading man, Klaus Kinski, this epic historical drama was legendary for the arduousness of its on-location filming and the convincing zealous obsession employed by Kinski in playing the title role. Exhausted and near to admitting failure in its quest for riches, the 1560-61 expedition of Spanish conquistador Gonzalo Pizarro (Alejandro Repulles) bogs down in the impenetrable jungles of Peru. As a last-ditch effort to locate treasure, Pizarro orders a party to scout ahead for signs of El Dorado, the fabled seven cities of gold. In command are a trio of nobles, Pedro de Ursua (Ruy Guerra), Fernando de Guzman (Peter Berling), and Lope de Aguirre (Kinski). Traveling by river raft, the explorers are besieged by hostile natives, disease, starvation and treacherous waters. Crazed with greed and mad with power, Aguirre takes over the enterprise, slaughtering any that oppose him. Nature and Aguirre's own unquenchable thirst for glory ultimately render him insane, in charge of nothing but a raft of corpses and chattering monkeys. Aguirre, der Zorn Gottes (1973) was based on the real-life journals of a priest, Brother Gaspar de Carvajal (played in the film by Del Negro), who accompanied Pizarro on his ill-fated mission.
            ","R
                    ",Werner Herzog,NA,NA,Werner Herzog,NA,NA,NA,"Dec 29, 1972
                        ","Oct 24, 2000
                        ","
                            90 minutes
                        ","
                        New Yorker Films
                    ","
                Klaus Kinski
            ","
                Ruy Guerra
            ","
                Del Negro
            ","
                Helena Rojo
            ","
                Cecilia Rivera
            ","
                Peter Berling
            ","
                                Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)
                            ",1972,"A haunting journey of natural wonder and tangible danger, Aguirre transcends epic genre trappings and becomes mythological by its own right.","
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Drama
                        
                    ",98,46,91,24,134150,9.11,9.22,10,4.35,4904,482,2693,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god
"
                Director Stephen Frears' tense adaptation of Jim Thompson's novel The Grifters was one of a number of revival film noirs in the first half of the '90s. Updating the setting to contemporary Los Angeles, the film follows a trio of con artists who are intent on out-foxing each other. Roy Dillon (John Cusack) is a simple, two-bit con, whose life is thrown into turmoil when his estranged mother Lilly (Anjelica Huston) returns home in an attempt to evade the law. Lilly doesn't warm to Roy's girlfriend Myra Langtry (Annette Bening), who is too similar to herself. Soon, the two women are competing for Roy in a battle that is more of a power struggle than a pursuit of affection, and the battle quickly turns dangerous. Huston was nominated for an Academy Award for her work.
            ","R (adult situations/language, nudity, violence)
                    ",Stephen Frears,NA,NA,Donald E. Westlake,NA,NA,NA,"Sep 14, 1990
                        ","Jun 30, 1998
                        ","
                            114 minutes
                        ","
                        HBO Video
                    ","
                John Cusack
            ","
                Anjelica Huston
            ","
                Annette Bening
            ","
                Michael Laskin
            ","
                Pat Hingle
            ","
                Gailard Sartain
            ",The Grifters,NA,No consensus yet.,"
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",90,42,70,10,132467,8,7.4,11,3.62,1411,616,1663,https://www.rottentomatoes.com/m/grifters
"
                A top London cop who is so good at his job that he makes his fellow officers look like slackers by comparison is ""promoted"" to serve in the sleepy village of Sandford in this contemporary action comedy from the creators of Shaun of the Dead. Police constable Nicholas Angel (Simon Pegg) always gets his man, but these days his impeccable record seems to be more indicative of his fellow officers' shortcomings than his own formidable skills as a keeper of the peace. Loathe to stand idly by as their once respectable track record is steadily soiled by the hyper-competent actions of one lone overachiever, Sergeant Angel's superiors at the Met soon determine to remedy their problem by relocating the decorated constable to the West Country village of Sanford -- where tranquil garden parties and neighborhood watch meetings stand in stark contrast to the violent crime and heated gunplay of the city. As Sergeant Angel does his best to adjust to the relative calm of his new environment, his oafish new partner Danny Butterman (Nick Frost) strives to gain the respect of his fellow constables while sustaining himself on fantasies of his favorite action films and police shows. Later, just as it begins to appear as if Sergeant Angel has been relegated to an uneventful existence in the relative calm of the countryside, a series of horrific ""accidents"" lead him to suspect that the tranquil hamlet of Sanford has fallen prey to a sinister plot which reeks of foul play. Jim Broadbent, Timothy Dalton, Steve Coogan, and Martin Freeman co-star in the Edgar Wright film. ~ Jason Buchanan, Rovi
            ","R (for violent content including some graphic images, and language)
                    ",Edgar Wright,NA,NA,Edgar Wright,Simon Pegg,NA,NA,"Apr 20, 2007
                        ","Jul 31, 2007
                        ","
                            121 minutes
                        ","
                        Rogue Pictures/Focus Features
                    ","
                Simon Pegg
            ","
                Nick Frost
            ","
                Jim Broadbent
            ","
                Steve Coogan
            ","
                Edward Woodward
            ","
                Paddy Considine
            ","
                                Hot Fuzz
                            ",2007,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,"
                        
                        Action & Adventure, 
                        
                        Comedy, 
                        
                        Drama
                        
                    ",91,203,89,565,141399,7.65,7.22,53,4.21,124848,14876,132451,https://www.rottentomatoes.com/m/hot_fuzz
"
                The ill-fated coal mining communities in North East England are the subject of this inspired documentary by multi-media artist Bill Morrison. Their story is told entirely without words, yet the film is far from silent: it features a remarkable original score by the Icelandic composer Jhann Jhannsson. Using rarely-seen footage from the British Film Institute, the BBC, and other archives, The Miners' Hymns celebrates social, cultural, and political aspects of the extinct industry. Focusing on the Durham coalfield located in northeastern England, it depicts the hardship of pit work, the role of Trade Unions in organizing and fighting for workers' rights, the years of increased mechanization and the annual Miners' Gala in Durham. -- (C) Icarus
            ","NR
                    ",Bill Morrison (II),NA,NA,David Metcalfe,Bill Morrison (II),NA,NA,"Feb 8, 2012
                        ","Oct 30, 2012
                        ","
                            52 minutes
                        ","
                        Icarus Films
                    ","
                Eric Leckenby
            ","
                Brian Gibson
            ","
                Alex Trotter
            ","
                John Bell
            ","
                Ian Wynd
            ","
                Steve Baxter
            ",The Miners' Hymns,NA,No consensus yet.,"
                        
                        Documentary, 
                        
                        Drama, 
                        
                        Special Interest
                        
                    ",100,10,100,148,141591,8.22,7.38,5,4.45,11,0,91,https://www.rottentomatoes.com/m/the_miners_hymns
"
                The quintessential ""talk"" film. Theater director Andre Gregory meets his old friend actor/playwright Wallace Shawn at an upscale New York restaurant to catch up on each other's lives. Gregory has travelled the world in search of alternate methods of creative and spiritual expression. Shawn plays straight man (and devil's advocate) in this unusual conversation and reminds Gregory of the more down-to-earth pleasures of New York life. While Shawn is a pragmatist, he is understandably impressed by Gregory's exploits. The screenplay was also written by Gregory and Shawn, a ""best-of"" collection of several tape-recorded conversations between the two. Director Louis Malle provides appropriately minimal direction. Gregory, Shawn and Malle collaborated again in Vanya on 42nd Street.
            ","PG
                    ",Louis Malle,NA,NA,Wallace Shawn,Andre Gregory,NA,NA,"Oct 11, 1981
                        ","Feb 13, 2001
                        ","
                            110 minutes
                        ","
                        New Yorker Films
                    ","
                Wallace Shawn
            ","
                Andre Gregory
            ","
                Jean Lenauer
            ","
                Roy Butler
            ",NA,NA,"
                                My Dinner with Andr
                            ",1981,No consensus yet.,"
                        
                        Comedy, 
                        
                        Drama
                        
                    ",92,24,85,7,133451,7.3,10,1,4.14,1333,232,1397,https://www.rottentomatoes.com/m/my_dinner_with_andre
"
                In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
            ","PG-13
                    ",Fritz Lang,NA,NA,Thea von Harbou,Fritz Lang,NA,NA,"Mar 13, 1927
                        ","Feb 18, 2003
                        ","
                            115 minutes
                        ","
                        Paramount Pictures
                    ","
                Alfred Abel
            ","
                Gustav Frolich
            ","
                Gustav Frhlich
            ","
                Brigitte Helm
            ","
                Rudolf Klein-Rogge
            ","
                Theodor Loos
            ",Metropolis,NA,A visually awe-inspiring science fiction classic from the silent era.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",97,126,92,62,132143,9.1,9.25,38,4.37,12387,1145,13651,https://www.rottentomatoes.com/m/1013775-metropolis
"
                In order to avoid the constant threat of assassination, the tragic historic figure of King Gwang-hae orders his councilor HEO kyun to find him a double. Ha-sun, a jester who looks remarkably like the king, is finally chosen. But the day that King Gwang-hae feared comes all too fast: the King is now in a coma induced by an unknown poison. Quickly realizing what he believes takes to be a good king, Ha-sun must now rule Chosun as if it were truly his own.
            ","NR
                    ",Choo Chang-Min,NA,NA,Hwang Jo-yun,NA,NA,NA,"Sep 21, 2012
                        ","Jun 11, 2013
                        ","
                            131 minutes
                        ","
                        CJ Entertainment America
                    ","
                Lee Byung-hun
            ","
                Han Hyo-joo
            ","
                Ryu Seung-ryong
            ","
                Kim In-kwon
            ","
                Seung-yong Ryoo
            ","
                Gwang Jang
            ","
                                Masquerade
                            ",2012,No consensus yet.,"
                        
                        Drama
                        
                    ",100,9,89,1,135302,6.6,6.5,2,4.18,342,44,516,https://www.rottentomatoes.com/m/masquerade_2012
"
                In this adaptation of the novel ""The Price of Salt"" by Patricia Highsmith, Therese (Rooney Mara), a young department-store clerk in 1950s Manhattan, meets Carol (Cate Blanchett), a beautiful older woman stuck in a depressing marriage of convenience. As their bond deepens and they become romantically involved, Carol finds the strength to leave her husband (Kyle Chandler). Unfortunately, her spouse starts to raise questions about her fitness as a mother when he realizes that Carol's relationships with her best friend Abby (Sarah Paulson) and Therese are more than just friendships. Directed by Todd Haynes.
            ","R (for a scene of sexuality/nudity and brief language)
                    ",Todd Haynes,NA,NA,Phyllis Nagy,NA,NA,NA,"Nov 20, 2015
                        ","Mar 15, 2016
                        ","
                            118 minutes
                        ","
                        The Weinstein Company
                    ","
                Cate Blanchett
            ","
                Kyle Chandler
            ","
                Rooney Mara
            ","
                Sarah Paulson
            ","
                Jake Lacy
            ","
                Cory Michael Smith
            ",Carol,NA,"Shaped by Todd Haynes' deft direction and powered by a strong cast led by Cate Blanchett and Rooney Mara, Carol lives up to its groundbreaking source material.","
                        
                        Drama, 
                        
                        Romance
                        
                    ",94,304,74,29,136817,8.57,9.1,60,3.79,7095,2531,18543,https://www.rottentomatoes.com/m/carol
