description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                The people of Salem capture and execute three witches for practicing witchcraft. Before their deaths, they vow to return to Salem 300 years on Halloween to exact their revenge. Three hundred years later, a skeptical, newly transplanted Californian, Max, explores the ruins of the legendary witches house and dares the witches to manifest themselves. Disregarding the warnings of his sister and girlfriend, Max lights the Candle of Black Flame. With that, the witches reappear to wreak havoc on the town. The kids take off with the witches spellbook. The sorceresses, who will die by the morning light if they don't recite the incantation for immortality, have to get the books by whatever means they can.
            ","PG (for some scary sequences, and for language)
                    ",Kenny Ortega,NA,NA,Mick Garris,Neil Cuthbert,Kenny Ortega,Greg Beeman,"Jul 16, 1993
                        ","Apr 22, 2003
                        ","
                            95 minutes
                        ","
                        Buena Vista Pictures
                    ","
                Bette Midler
            ","
                Sarah Jessica Parker
            ","
                Kathy Najimy
            ","
                Omri Katz
            ","
                Thora Birch
            ","
                Vinessa Shaw
            ",Hocus Pocus,NA,"Harmlessly hokey yet never much more than mediocre, Hocus Pocus is a muddled family-friendly effort that fails to live up to the talents of its impressive cast.","
                        
                        Comedy, 
                        
                        Kids & Family, 
                        
                        Science Fiction & Fantasy
                        
                    ",34,50,71,346,134427,4.45,4.61,15,3.82,9530,3969,10626,https://www.rottentomatoes.com/m/hocus_pocus
"
                When the scout fairies grow fearful that the mysterious NeverBeast will destroy Pixie Hollow, friendly Fawn must convince Tinker Bell and the rest of the locals that the creature is in fact a gentle giant.
            ","G
                    ",Steve Loter,NA,NA,Steve Loter,Tom Rogers,Robert Schooley,Mark McCorkle,"Mar 3, 2015
                        ","
                            76 minutes
                        ",NA,"
                        DisneyToon Studios
                    ","
                Ginnifer Goodwin
            ","
                Mae Whitman
            ","
                Pamela Adlon
            ","
                Lucy Liu
            ","
                Megan Hilty
            ","
                Raven-Symon
            ",TinkerBell and the Legend of the NeverBeast,NA,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Animation, 
                        
                        Kids & Family
                        
                    ",75,20,76,1,132718,5.59,5,8,3.98,436,137,708,https://www.rottentomatoes.com/m/tinkerbell_and_the_legend_of_the_neverbeast
"
                The Brave Little Toaster to the Rescue, the latest animated feature in the popular series for children, concerns the adventures of Toaster and his pals (and fellow household appliances) Lampy, Radio, Blanky, and Kirby the carpet sweeper, who make friends with a group of animals at a veterinary clinic. When Toaster discovers that the animals are scheduled to be sent to a scientific laboratory where they'll be used for testing, he and his friends join forces to help the critters escape to freedom.
            ","NR
                    ",Robert Ramirez,NA,NA,Willard Carroll,NA,NA,NA,"May 25, 1999
                        ","Sep 2, 2003
                        ","
                            74 minutes
                        ","
                        Hyperion Pictures
                    ","
                Roger Kabler
            ","
                Deanna Oliver
            ","
                Danny Nucci
            ","
                Eric Lloyd
            ",NA,NA,Brave Little Toaster to the Rescue,NA,No consensus yet.,"
                        
                        Animation, 
                        
                        Kids & Family
                        
                    ",40,5,46,4,132609,4.1,0,0,3.21,84,101,300,https://www.rottentomatoes.com/m/brave_little_toaster_to_the_rescue
"
                In this animated futuristic tale, a pair of twins must fight for domination of what is left of the world, the good man using the powers of magic in an attempt to save the Earth, and the evil twin taking advantage of the horrors of technology that again threaten to destroy everything.
            ","PG (adult situations/language, violence)
                    ",Ralph Bakshi,NA,NA,Ralph Bakshi,NA,NA,NA,"Feb 9, 1977
                        ","May 25, 2004
                        ","
                            80 minutes
                        ","
                        Eureka Entertainment Ltd
                    ","
                Barbara Sloane
            ","
                Hyman Wein
            ","
                Christopher Tayback
            ","
                Angelo Grisanti
            ","
                Mark Hamill
            ","
                Peter Hobbs
            ","
                                Wizards
                            ",1977,"Its central metaphor is a bit too on the nose, but Wizards is an otherwise psychedelic, freaky trip into an alternate version of our world.","
                        
                        Action & Adventure, 
                        
                        Animation, 
                        
                        Kids & Family, 
                        
                        Science Fiction & Fantasy
                        
                    ",62,26,70,8,135487,5.64,5.33,3,3.69,905,395,793,https://www.rottentomatoes.com/m/wizards
"
                Adapted from author Gail Carson Levine's award-winning children's book of the same name, the Miramax-financed modern fantasy Ella Enchanted is directed by Tommy O'Haver and stars The Princess Diaries alumna Anne Hathaway. Ella (Hathaway) lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey she hopes will end with the lifting of the curse in question. The path, however, isn't easy -- Ella must outwit a slew of unpleasant magical creatures ranging from ogres to talking books with evil plots. Though perilous, Ella's adventures turn out to be necessary obstacles in the path toward finding herself, and maybe even true love along the way. Ella Enchanted also features Cary Elwes, who has starred in a fantasy feature himself (the widely acclaimed The Princess Bride), Hugh Dancy, and Patrick Bergin, among others. ~ Tracie Cooper, Rovi
            ","PG (for some crude humor and language)
                    ",Tommy O'Haver,NA,NA,Karen McCullah Lutz,Kirsten Smith,Jennifer Heath,Michele J. Wolff,"Apr 9, 2004
                        ","Aug 24, 2004
                        ","
                            96 minutes
                        ","
                        Miramax Films
                    ","
                Anne Hathaway
            ","
                Hugh Dancy
            ","
                Cary Elwes
            ","
                Vivica A. Fox
            ","
                Joanna Lumley
            ","
                Minnie Driver
            ","
                                Ella Enchanted
                            ",2004,"Hathaway is a charming heroine, but the simple storyline gets overwhelmed by silly gimmickry.","
                        
                        Comedy, 
                        
                        Kids & Family, 
                        
                        Science Fiction & Fantasy, 
                        
                        Romance
                        
                    ",50,115,57,340,136820,5.59,5.58,32,3.39,9816,7420,23465,https://www.rottentomatoes.com/m/ella_enchanted
"
                In Disney's second straight-to-video sequel to Aladdin, Aladdin (voice of Scott Weinger) and Princess Jasmine (voice of Linda Larkin) have finally decided to marry, but when the big day finally arrives, the ceremony is thrown into chaos by the unexpected arrival of the Forty Thieves, who are searching for the enchanted Hand of Midas, a charm that will turn all it touches into gold. Aladdin makes the shocking discovery that his father (voice of John Rhys-Davies), long believed dead, is actually the leader of this infamous band of thieves, and when his father falls into peril, Aladdin must rescue him -- with the genie of the lamp (voice of Robin Williams) on hand to help. Robin Williams, whose voice work was considered a key factor in the success of the original Aladdin, returned to the franchise for this film after bowing out of the first sequel, The Return Of Jafar, due to a financial dispute (in The Return Of Jafar, the genie was voiced by Dan Castellaneta). ~Rovi
            ","NR (nothing objectionable)
                    ",Tad Stones,NA,NA,Mark McCorkle,Robert Schooley,NA,NA,"Jun 1, 1995
                        ","Jan 18, 2005
                        ","
                            80 minutes
                        ","
                        Warner Home Video
                    ","
                Scott Weinger
            ","
                Linda Larkin
            ","
                Robin Williams
            ","
                Jeff Bennett
            ","
                Gilbert Gottfried
            ","
                Jerry Orbach
            ","
                                Aladdin and the King of Thieves
                            ",1995,No consensus yet.,"
                        
                        Animation, 
                        
                        Comedy, 
                        
                        Kids & Family
                        
                    ",33,12,50,125,133587,4.84,0,0,3.32,2321,2287,5903,https://www.rottentomatoes.com/m/aladdin-and-the-king-of-thieves
"
                Teen surfing sweethearts Brady and McKenzie are swept into the movie musical ""Wet Side Story"" when they crash beneath a wave. In the film, bikers and surfers battle for control of a local hangout, and Brady and McKenzie inadvertently alter the movie's romantic storyline when a handsome surfer falls for McKenzie and a cute biker girl swoons for Brady. ~ Tim Holland, Rovi
            ","NR
                    ",Jeffrey Hornady,Jeffrey Hornaday,Jeffery Hornaday,Vince Marcello,Mark Landry,Robert Horn,NA,"Jul 30, 2013
                        ","
                            91 minutes
                        ",NA,"
                        Rainforest Productions
                    ","
                Ross Lynch
            ","
                Maia Mitchell
            ","
                Grace Phipps
            ","
                Garrett Clayton
            ","
                John DeLuca
            ","
                Chrissie Fit
            ","
                                Teen Beach Movie
                            ",2013,No consensus yet.,"
                        
                        Kids & Family, 
                        
                        Musical & Performing Arts, 
                        
                        Television
                        
                    ",86,7,72,2,133534,8,0,4,3.88,654,254,1706,https://www.rottentomatoes.com/m/teen_beach_movie
"
                When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.
            ","PG (for brief mild violence)
                    ",Nathan Greno,Byron Howard,NA,Jacob Grimm,Dan Fogelman,NA,NA,"Nov 24, 2010
                        ","Mar 29, 2011
                        ","
                            100 minutes
                        ","
                        Walt Disney Pictures
                    ","
                Zachary Levi
            ","
                Donna Murphy
            ","
                Ron Perlman
            ","
                M.C. Gainey
            ","
                Jeffrey Tambor
            ","
                Brad Garrett
            ",Tangled,NA,"While far from Disney's greatest film, Tangled is a visually stunning, thoroughly entertaining addition to the studio's classic animated canon.","
                        
                        Animation, 
                        
                        Comedy, 
                        
                        Kids & Family, 
                        
                        Musical & Performing Arts
                        
                    ",89,225,87,150,141448,7.49,7.17,50,4.16,52219,7880,45838,https://www.rottentomatoes.com/m/tangled
"
                Like other celebrated rock-and-roll groups, the members of the legendary group 'The Country Bears'--Ted and Fred Bedderhead, Tennessee O'Neal and Zeb Zober--were torn apart by the perils of their own success: ego, jealousy and a little too much honey. Can eager young fan Beary Barrington convince the bitter ex-members of the rock band to put aside their differences and perform a benefit concert to save Country Baer Hall, the legendary venue where the band got its start?
            ","G
                    ",Peter Hastings,NA,NA,Mark Perez,NA,NA,NA,"Jul 26, 2002
                        ","Dec 17, 2002
                        ","
                            88 minutes
                        ","
                        Buena Vista Distribution Compa
                    ","
                Haley Joel Osment
            ","
                Candy Ford
            ","
                James Gammon
            ","
                Brad Garrett
            ","
                Toby Huss
            ","
                Kevin Michael Richardson
            ","
                                The Country Bears
                            ",2002,"Despite all the celebrities on hand, this spin-off from a theme park attraction still feels tired and hokey.","
                        
                        Comedy, 
                        
                        Kids & Family
                        
                    ",29,82,33,10,139546,4.34,4.35,23,2.66,260,535,742,https://www.rottentomatoes.com/m/country_bears
"
                A young boy's discovery of a gigantic peach triggers an eventful journey across the sea in this strikingly designed and surprisingly twisted animated adventure. A live-action framing device establishes the dark yet fanciful mood one might expect from an adaptation of a Roald Dahl story, as young British lad James (Paul Terry) is orphaned by the death of his parents and forced to live with two cruel, repulsive aunts (played by noted British character actors Miriam Margolyes and Joanna Lumley of British TV hit Absolutely Fabulous). The visit of a mysterious stranger provides a means of escape, however, through a magic bag of ""crocodile tongues"" that bring about the appearance of the giant peach. The curious James soon winds up inside the fruit, at which point his body changes, and the film switches to a combination of stop-motion and digital animation. The new James meets up with a group of talking, oversized insects, including a vampish spider (voiced by Susan Sarandon), a sarcastic centipede (voiced by Richard Dreyfuss), and a matronly ladybug (voiced by Jane Leeves). These creatures become his traveling companions when the peach rolls into the Atlantic Ocean, and James and his new friends must brave a variety of dangers to reach the shore. Director Henry Selick provides further proof of the visual skill he demonstrated in The Nightmare Before Christmas, creating a fascinating, often eerie alternate universe, while Randy Newman provides the upbeat musical accompaniment. Young children may be disturbed by the story's creepier overtones, but the mixture of remarkable visuals, oddball characters, and off-kilter fantasy will appeal to all other audiences. ~ Judd Blaise, Rovi
            ","PG
                    ",Henry Selick,NA,NA,Steve Bloom,Jonathan Roberts,Karey Kirkpatrick,NA,"Apr 12, 1996
                        ","Oct 3, 2000
                        ","
                            80 minutes
                        ","
                        Buena Vista Pictures
                    ","
                Joanna Lumley
            ","
                Pete Postlethwaite
            ","
                Paul Terry (II)
            ","
                Simon Callow
            ","
                Richard Dreyfuss
            ","
                Susan Sarandon
            ","
                                James and the Giant Peach
                            ",1996,"The arresting and dynamic visuals, offbeat details and light-as-air storytelling make James and the Giant Peach solid family entertainment.","
                        
                        Animation, 
                        
                        Kids & Family
                        
                    ",91,74,66,257,135901,7.16,8.17,22,3.59,7905,4162,20473,https://www.rottentomatoes.com/m/james_and_the_giant_peach
