description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Director Stephen Frears' tense adaptation of Jim Thompson's novel The Grifters was one of a number of revival film noirs in the first half of the '90s. Updating the setting to contemporary Los Angeles, the film follows a trio of con artists who are intent on out-foxing each other. Roy Dillon (John Cusack) is a simple, two-bit con, whose life is thrown into turmoil when his estranged mother Lilly (Anjelica Huston) returns home in an attempt to evade the law. Lilly doesn't warm to Roy's girlfriend Myra Langtry (Annette Bening), who is too similar to herself. Soon, the two women are competing for Roy in a battle that is more of a power struggle than a pursuit of affection, and the battle quickly turns dangerous. Huston was nominated for an Academy Award for her work.
            ","R (adult situations/language, nudity, violence)
                    ",Stephen Frears,NA,NA,Donald E. Westlake,NA,NA,NA,"Sep 14, 1990
                        ","Jun 30, 1998
                        ","
                            114 minutes
                        ","
                        HBO Video
                    ","
                John Cusack
            ","
                Anjelica Huston
            ","
                Annette Bening
            ","
                Michael Laskin
            ","
                Pat Hingle
            ","
                Gailard Sartain
            ",The Grifters,NA,No consensus yet.,"
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",90,42,70,10,132467,8,7.4,11,3.62,1411,616,1663,https://www.rottentomatoes.com/m/grifters
"
                Based on the novel by John Le Carre, The Spy Who Came in from the Cold stars Richard Burton as a dispirited, end-of-tether British secret agent. He comes in from ""the cold"" (meaning he is pulled out of field operations) to act as a undercover man behind the Iron Curtain. To make his staged defection seem genuine, Burton goes on an alcoholic toot and is imprisoned and publicly humiliated. Once he has been accepted into East German espionage circles, Burton discovers that what he thought was his mission was a mere subterfuge--and that he's been set up as a pawn for an entirely different operation. Though Ireland and England ""stand in"" for East Berlin, Spy Who Came In From the Cold has the air of authenticity throughout, thanks in great part to the bleak black and white photography by Oswald Morris. The film was condemned as incomprehensible by those filmgoers accustomed to the simplistic melodramatics of James Bond; seen today, the double-crosses and double-double crosses seem all too clear and credible.
            ","NR
                    ",Martin Ritt,NA,NA,Guy Trosper,Paul Dehn,NA,NA,"Jan 1, 1965
                        ","Jul 13, 2004
                        ","
                            112 minutes
                        ","
                        Paramount Pictures
                    ","
                Richard Burton
            ","
                Claire Bloom
            ","
                Oskar Werner
            ","
                Cyril Cusack
            ","
                Peter van Eyck
            ","
                Sam Wanamaker
            ","
                                The Spy Who Came In from the Cold
                            ",1965,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",87,15,82,5,132660,7.67,6.38,4,3.9,687,153,852,https://www.rottentomatoes.com/m/the_spy_who_came_in_from_the_cold
"
                This comedy offers a combination of humor, drama, and thrills as it follows the tumultuous relationship between a young Secret Service agent assigned to protect the feisty widow of a U.S. president. Straight arrow agent Doug Chesnic has been guarding widow Tess Carlisle for three years. He is ecstatic when he is finally transferred to a new assignment. Just when it finally looks as if he will escape for good, he is reassigned to Tess' Ohio home. He breaks down and tells them it is the worst assignment there is. Unfortunately, he doesn't have a choice so he grudgingly returns to the high-handed ex-First Lady. He begins his stint with a clear discussion of his duties as presented in his service handbook which Tess blithely ignores. The mulish two engage in a minor power struggle, but when she is kidnapped, agent Chesnic winds up showing his true feelings for her.
            ","PG-13
                    ",Hugh Wilson,NA,NA,Hugh Wilson,Pj Torokvei,Peter Torokvei,NA,"Mar 11, 1994
                        ","Apr 14, 1998
                        ","
                            95 minutes
                        ","
                        Sony Pictures Home Entertainment
                    ","
                Shirley MacLaine
            ","
                Nicolas Cage
            ","
                Austin Pendleton
            ","
                Edward Albert
            ","
                James Rebhorn
            ","
                Richard Griffiths
            ","
                                Guarding Tess
                            ",1994,No consensus yet.,"
                        
                        Comedy, 
                        
                        Mystery & Suspense
                        
                    ",57,35,48,19,134396,5.75,6.36,9,3.25,657,722,1623,https://www.rottentomatoes.com/m/guarding_tess
"
                In this film, Jeff Bridges stars as the scion of a powerful Kennedyesque family, who has done his best to make himself obscure after the assassination of his brother, the former President of the U.S. Bridges is introduced to a terminally ill gentleman who claims to have been ""the second assassin.""
            ","R
                    ",William Richert,NA,NA,William Richert,NA,NA,NA,"May 11, 1979
                        ","Mar 18, 2003
                        ","
                            97 minutes
                        ","
                        AVCO Embassy Pictures
                    ","
                Jeff Bridges
            ","
                John Huston
            ","
                Anthony Perkins
            ","
                Eli Wallach
            ","
                Sterling Hayden
            ","
                Dorothy Malone
            ","
                                Winter Kills
                            ",1979,No consensus yet.,"
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",88,17,55,917,132958,7.07,6.38,4,3.36,50,41,181,https://www.rottentomatoes.com/m/winter_kills
"
                Crescent Bay is not the ideal place to spend one's golden years, especially since the once-idyllic retirement community has been beset by a series of deadly animal attacks from the ominous forest surrounding it. When grizzled war veteran Ambrose McKinley (Nick Damici) is forced into moving there by his yuppie son Will (Ethan Embry), the residents immediately take offense to Ambrose's abrasive personality. But that take-no-prisoners attitude may be just what Ambrose needs to survive as it becomes clear that the attacks are being caused by creatures that are neither animal nor man, and that the tight-knit community of Crescent Bay is hiding something truly sinister in its midst... Following the release of his Here Comes The Devil, as well as his scene-stealing segment ""B is For Bigfoot"" in the horror anthology The ABCs of Death, Adrin Garca Bogliano cements his status as one of the top horror filmmakers coming out of Spain with LATE PHASES. In a bookend of sorts to his performance in the cult hit Stake Land, Nick Damici commands the screen here, coming on the heels of last year's Sundance vigilante thriller Cold In July and the critically acclaimed cannibal drama, We Are What We Are.(C) Dark Sky Films
            ","NR
                    ",Adrian Garca Bogliano,NA,NA,Eric Stolze,NA,NA,NA,"Nov 21, 2014
                        ","Mar 10, 2015
                        ","
                            95 minutes
                        ","
                        Dark Sky Films
                    ","
                Ethan Embry
            ","
                Lance Guest
            ","
                Nick Damici
            ","
                Erin Cummings
            ","
                Rutanya Alda
            ","
                Tina Louise
            ","
                                Late Phases
                            ",2014,No consensus yet.,"
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",63,19,44,596,133459,5.27,4.2,5,3.05,161,209,179,https://www.rottentomatoes.com/m/late_phases_2014
"
                In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when McCall meets Teri (Chlo Grace Moretz), a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer. (c) Sony
            ","R (for strong bloody violence and language throughout, including some sexual references)
                    ",Antoine Fuqua,NA,NA,Richard Wenk,NA,NA,NA,"Sep 26, 2014
                        ","Dec 30, 2014
                        ","
                            131 minutes
                        ","
                        Sony Pictures
                    ","
                Denzel Washington
            ","
                Marton Csokas
            ","
                Chlo Grace Moretz 
            ","
                David Harbour
            ","
                Bill Pullman
            ","
                Melissa Leo
            ",The Equalizer,NA,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.","
                        
                        Mystery & Suspense
                        
                    ",59,198,76,91,141657,5.69,5.07,45,3.87,27105,8379,52596,https://www.rottentomatoes.com/m/the_equalizer_2013
"
                This 60-million-dollar science fiction suspense drama (marketed with an additional 25 million dollars), was adapted from the popular TV series The X-Files -- arriving in theaters while the Emmy-winning series was still being aired, continuing plot threads familiar to many of the series' 25 million viewers, and featuring several familiar recurring characters introduced during the previous five TV seasons. In 15,000 B.C., a strange creature attacks a caveman. Cut to present day, when a boy at the same North Texas spot falls into a pit and is contaminated by a black substance. When a bomb threatens the Dallas Federal Building, special FBI agents Fox Mulder (David Duchovny) and Dana Scully (Gillian Anderson) locate the device but are unable to prevent the explosion. The agency blames Mulder and Scully for the disaster, subjecting them to lengthy interrogations while trying to sever their partnership. In a bar, conspiracy theorist Kurtzweil (Martin Landau), a friend of Mulder's father, tells Mulder about the group behind the explosion, the cover-up of the boy's death, the bodies of four infected rescue workers removed from the Federal Building, the secret government, and the forthcoming plague. Mulder and Scully set out to find answers, and their investigation becomes a foray into the fantastic. ~ Bhob Stewart, Rovi
            ","PG-13 (For some intense violence and gore)
                    ",Rob Bowman,David Nutter,NA,Chris Carter,Frank Spotnitz,NA,NA,"Jun 19, 1998
                        ","May 4, 1999
                        ","
                            120 minutes
                        ","
                        Twentieth Century Fox Home Entertainment
                    ","
                David Duchovny
            ","
                Gillian Anderson
            ","
                Martin Landau
            ","
                Armin Mueller-Stahl
            ","
                Blythe Danner
            ","
                William B. Davis
            ","
                                The X-Files - Fight the Future
                            ",1998,"Results may vary for newcomers, but fans of the series will enjoy its big-screen transition.","
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",65,72,72,66,134042,6.06,5.67,18,3.77,4942,1900,4779,https://www.rottentomatoes.com/m/xfiles_fight_the_future
"
                Tom Selznick, the most talented pianist of his generation, stopped performing in public because of his stage fright. Years after a catastrophic performance, he reappears in public in a long-awaited concert in Chicago. In a packed theater, in front of the expectant audience, Tom finds a message written on the score: ""Play one wrong note and you die."" Without leaving the piano, Tom must discover the anonymous sniper's motives and look for help without anyone realizing... --(C) Magnet
            ","R (for some language)
                    ",Eugenio Mira,NA,NA,Damien Chazelle,NA,NA,NA,"Mar 7, 2014
                        ","May 20, 2014
                        ","
                            90 minutes
                        ","
                        Magnet Releasing
                    ","
                Elijah Wood
            ","
                John Cusack
            ","
                Tamsin Egerton
            ","
                Kerry Bish
            ","
                Alex Winter
            ","
                Dee Wallace
            ",Grand Piano,NA,Grand Piano is so tense in its best moments -- and appealingly strange overall -- that it remains rewarding in spite of its flaws.,"
                        
                        Mystery & Suspense
                        
                    ",79,71,47,10,134395,6.52,5.66,16,3.14,1250,1397,6551,https://www.rottentomatoes.com/m/grand_piano
"
                Nightwatch director Ole Bornedal returns to quicken the pulse of thriller fans with this genre-bending tale of a crime scene photographer and family man who is violently shaken out of his suburban malaise following a fateful car accident. Jonas makes his living by capturing gruesome crime scenes in all of their lurid detail, yet lately the beleaguered shutterbug has grown increasingly despondent in both his career and his personal life. One day, while driving through the city, Jonas is involved in a car accident with a young woman named Julia. Unconscious due to the impact of the crash, Julia is rushed to the hospital. Later, a concerned Jonas makes a special trip to check in on Julia, and finds her comatose in her hospital bed and surrounded by loved ones. Having never actually met her boyfriend Sebastian, Julia's family immediately assumes that Jonas is the man they've all heard so much about as of late. While Jonas is all too willing to step into the role for the time being, his ruse grows complicated when Julia awakens with amnesia, and the real Sebastian begins to grow curious about the intruder that has stolen his identity. ~ Jason Buchanan, Rovi
            ","R
                    ",Ole Bornedal,NA,NA,Ole Bornedal,NA,NA,NA,"Aug 24, 2007
                        ","May 5, 2009
                        ","
                            104 minutes
                        ","
                        Revolver Entertainment
                    ","
                Rebecka Hemse
            ","
                Anders W. Berthelsen
            ","
                Nikolaj Lie Kaas
            ","
                Charlotte Fich
            ","
                Dejan Cukic
            ","
                Ewa Frling
            ",Krlighed p Film (Just Another Love Story),NA,"An intense foreign language noir, Just Another Love Story uses some generic methods to tell its tale of mistaken identity but is sharply entertaining nonetheless.","
                        
                        Art House & International, 
                        
                        Drama, 
                        
                        Mystery & Suspense
                        
                    ",74,46,82,1,132240,6.13,5.89,20,3.81,316,67,232,https://www.rottentomatoes.com/m/just-another-love-story-kaerlighed-pa-film
"
                When mysterious spacecraft touch down across the globe, an elite team--lead by expert linguist Louise Banks (Amy Adams)--are brought together to investigate. As mankind teeters on the verge of global war, Banks and the team race against time for answers--and to find them, she will take a chance that could threaten her life, and quite possibly humanity.
            ","PG-13 (for brief strong language)
                    ",Denis Villeneuve,NA,NA,Eric Heisserer,NA,NA,NA,"Nov 11, 2016
                        ","Feb 14, 2017
                        ","
                            116 minutes
                        ","
                        21 Laps Entertainment
                    ","
                Amy Adams
            ","
                Jeremy Renner
            ","
                Forest Whitaker
            ","
                Michael Stuhlbarg
            ","
                Mark O'Brien (IX) 
            ","
                Tzi Ma
            ",Arrival,NA,Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,"
                        
                        Drama, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",94,418,82,82,141919,8.41,7.77,59,4.02,35645,7825,36423,https://www.rottentomatoes.com/m/arrival_2016
