description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Master chef Kate Armstrong lives her life like she runs her kitchen at a trendy Manhattan eatery--with a no-nonsense intensity that both captivates and intimidates everyone around her. Kate's perfectionist nature is put to the test when she ""inherits"" her nine-year-old niece Zoe, while contending with a brash new sous-chef who joins her staff. High-spirited and freewheeling, Nick Palmer couldn't be more different from Kate, yet the chemistry between them is undeniable. Rivalry becomes romance, but Kate will have to learn to express herself beyond the realm of her kitchen if she wants to connect with Zoe and find true happiness with Nick.
            ","PG (for some sensuality and language)
                    ",Scott Hicks,NA,NA,Sandra Nettlebeck,Scott Hicks,Carol Fuchs,Sandra Nettelbeck,"Jul 27, 2007
                        ","Feb 13, 2008
                        ","
                            104 minutes
                        ","
                        Warner Bros. Pictures
                    ","
                Catherine Zeta-Jones
            ","
                Aaron Eckhart
            ","
                Patricia Clarkson
            ","
                Abigail Breslin
            ","
                Jenny Wade
            ","
                Jennifer Wade
            ","
                                No Reservations
                            ",2007,"This romantic comedy may look good on paper, but it's too predictable and melancholy for the genre.","
                        
                        Comedy, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",42,162,62,394,141419,5.25,4.83,47,3.49,21166,13216,139642,https://www.rottentomatoes.com/m/no_reservations
"
                Having inherited the warhorse stage piece Bird of Paradise from his predecessor William LeBaron, RKO Radio production chief David O. Selznick opted to do the property up brown, hoping to transform the Richard Walton Tully original into RKO's ""prestige"" offering of 1932. Joel McCrea stars as a handsome South Seas soldier of fortune who falls in love with Dolores Del Rio, the daughter of a Polynesian native chieftain. Alas, their idyllic romance is destined to come to a sudden and violent end: tribal custom decrees that Del Rio is to be sacrificed to the local volcano. After initial resistance, the heroine nobly resigns herself to her fate, realizing that there is no place for her in her white lover's civilization. A more conservative (and far less costly) version of Bird of Paradise was filmed in 1952, with Jeff Chandler and Debra Paget.
            ","NR
                    ",King Vidor,NA,NA,Richard Walton Tully,Wells Root,Wanda Tuchock,Leonard Praskins,"Aug 12, 1932
                        ","Sep 27, 1999
                        ","
                            80 minutes
                        ","
                        Kino Lorber
                    ","
                Dolores Del Rio
            ","
                Joel McCrea
            ","
                Lon Chaney Jr
            ","
                Creighton Chaney
            ","
                John Halliday
            ","
                Richard 'Skeets' Gallagher
            ","
                                Bird of Paradise
                            ",1932,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",53,15,46,1,133026,5.56,0,5,3.08,12,14,130,https://www.rottentomatoes.com/m/bird-of-paradise
"
                Fisher Willow a headstrong young heiress chafes under the constraints of proper Southern society and rebels by asking the impoverished but handsome son of her father's caretaker, Jimmy Dobyne, to escort her to the major Memphis social events of the season. The relationship is purely a business arrangement at the outset, with Fisher paying for Jimmy's time and attention, but when she discovers that she really loves him, she finds it impossible to re-write the rules and earn the affection she tried to buy.
            ","PG-13 (for some sexuality and drug content)
                    ",Jodie Markell,NA,NA,Tennessee Williams,NA,NA,NA,"Dec 30, 2009
                        ","Sep 7, 2010
                        ","
                            102 minutes
                        ","
                        Paladin
                    ","
                Bryce Dallas Howard
            ","
                Chris Evans
            ","
                Ellen Burstyn
            ","
                Mamie Gummer
            ","
                Ann-Margret
            ","
                Will Patton
            ","
                                The Loss of a Teardrop Diamond
                            ",2009,"Stodgy and dispiritingly old-fashioned, Teardrop Diamond proves to be no big loss.","
                        
                        Drama, 
                        
                        Romance
                        
                    ",27,41,40,68,133477,4.37,5.32,14,2.91,134,198,10079,https://www.rottentomatoes.com/m/loss_of_a_teardrop_diamond
"
                After the death of her husband, Pearl Berman (Shirley MacLaine) finds herself being courted by an admiring Italian neighbor, Joe Meledandri (Marcello Mastroianni). Despite the objections of Pearl's mother (Jessica Tandy), and her two grown daughters, Norma (Marcia Gay Harden) and Bibby (Kathy Bates), Joe continues to pursue the reluctant Pearl and play an important role in the day-to-day life of her family.
            ","PG-13
                    ",Beeban Kidron,NA,NA,Todd Graff,NA,NA,NA,"Jun 1, 1992
                        ","May 6, 2011
                        ","
                            115 minutes
                        ","
                        Twentieth Century Fox Home Entertainment
                    ","
                Shirley MacLaine
            ","
                Marcello Mastroianni
            ","
                Kathy Bates
            ","
                Jessica Tandy
            ","
                Marcia Gay Harden
            ","
                Sylvia Sidney
            ",Used People,NA,No consensus yet.,"
                        
                        Comedy, 
                        
                        Romance
                        
                    ",44,16,39,205,131980,5.17,4.5,4,3.19,17,27,35,https://www.rottentomatoes.com/m/used_people
"
                The portrait of an end of an era--British rule in Ireland--and the demise of a class and way of life which had survived for centuries. A depiction of a young woman's coming of age in a brutalized time and place, the story is set in 1920 in County Cork, southern Ireland at the country home of Sir Richard Naylor and his wife, Lady Myra. The Naylors belong to the class of Anglo-Irish aristocracy known as the Ascendancy, whose way of life--moneyed, graceful, essentially feudal--is fast coming to a close. Behind the facade of set-piece dinners, tennis parties and army camp dances, all know that the end is approaching. When Sir Richard's niece, Lois, who is being courted by a captain in the British army, is lured by a menacingly playful and violent young man hiding on the Danielstown estate, class tensions arise and a fierce struggle for personal freedom ensues.
            ","R (for some violence and sexuality)
                    ",Deborah Warner,NA,NA,NA,NA,NA,NA,"Apr 21, 2000
                        ","Sep 26, 2000
                        ","
                            103 minutes
                        ","
                        Trimark Pictures
                    ","
                Maggie Smith
            ","
                Michael Gambon
            ","
                Jane Birkin
            ","
                Fiona Shaw
            ","
                Lambert Wilson
            ","
                David Tennant
            ",The Last September,NA,No consensus yet.,"
                        
                        Drama, 
                        
                        Romance
                        
                    ",42,24,33,788,132008,5.59,7.25,6,2.86,20,39,147,https://www.rottentomatoes.com/m/the_last_september
"
                In this adaptation of the novel ""The Price of Salt"" by Patricia Highsmith, Therese (Rooney Mara), a young department-store clerk in 1950s Manhattan, meets Carol (Cate Blanchett), a beautiful older woman stuck in a depressing marriage of convenience. As their bond deepens and they become romantically involved, Carol finds the strength to leave her husband (Kyle Chandler). Unfortunately, her spouse starts to raise questions about her fitness as a mother when he realizes that Carol's relationships with her best friend Abby (Sarah Paulson) and Therese are more than just friendships. Directed by Todd Haynes.
            ","R (for a scene of sexuality/nudity and brief language)
                    ",Todd Haynes,NA,NA,Phyllis Nagy,NA,NA,NA,"Nov 20, 2015
                        ","Mar 15, 2016
                        ","
                            118 minutes
                        ","
                        The Weinstein Company
                    ","
                Cate Blanchett
            ","
                Kyle Chandler
            ","
                Rooney Mara
            ","
                Sarah Paulson
            ","
                Jake Lacy
            ","
                Cory Michael Smith
            ",Carol,NA,"Shaped by Todd Haynes' deft direction and powered by a strong cast led by Cate Blanchett and Rooney Mara, Carol lives up to its groundbreaking source material.","
                        
                        Drama, 
                        
                        Romance
                        
                    ",94,304,74,29,136817,8.57,9.1,60,3.79,7095,2531,18543,https://www.rottentomatoes.com/m/carol
"
                Romance begins busting out all over in Rochefort. A fair is being organized, giving the town an air of excitement and effervescence. Twin sisters Delphine, a dance teacher, and Solange, a pianist and a composer, dream of making it big in the world of music. The sisters, like many in Rochefort, including a dashing American pianist, are looking for love, without realizing that their ideal partners are right before their eyes.
            ","G
                    ",Jacques Demy,NA,NA,Jacques Demy,NA,NA,NA,"Apr 11, 1968
                        ","Jan 22, 2002
                        ","
                            124 minutes
                        ","
                        Miramax-Zoe
                    ","
                Catherine Deneuve
            ","
                Franoise Dorlac
            ","
                Gene Kelly
            ","
                Danielle Darrieux
            ","
                George Chakiris
            ","
                Grover Dale
            ",The Young Girls of Rochefort (Les Demoiselles de Rochefort),NA,The Young Girls of Rochefort pays colorful homage to classic Hollywood musicals while earning its own emotionally affecting place of honor in the genre.,"
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Musical & Performing Arts, 
                        
                        Romance
                        
                    ",98,43,84,4,132767,7.97,8.77,15,4.1,620,117,534,https://www.rottentomatoes.com/m/the_young_girls_of_rochefort
"
                In this film, handsome young George Eastman goes to work in a relative's factory. He has a brief rendezvous with assembly-line worker Alice Tripp, but he forgets all about her when he falls for dazzling socialite Angela Vickers. Alice can't forget about him, though: she is pregnant with his child.
            ","NR
                    ",George Stevens,NA,NA,Michael Wilson,Harry Brown,NA,NA,"Aug 15, 1951
                        ","Aug 21, 2001
                        ","
                            122 minutes
                        ","
                        Paramount Pictures
                    ","
                Elizabeth Taylor
            ","
                Montgomery Clift
            ","
                Shelley Winters
            ","
                Raymond Burr
            ","
                Keefe Brasselle
            ","
                Fred Clark
            ",A Place in the Sun,NA,"Director George Stevens' stately treatment of A Place in the Sun buffs out some of the novel's nuance with blunt moralizing, but riveting performances by Montgomery Clift and company give the drama a bruising punch.","
                        
                        Classics, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",77,30,84,8,133494,7.23,6.94,9,4.02,1228,228,1143,https://www.rottentomatoes.com/m/place_in_the_sun
"
                The story of intelligence officer Max Vatan, who in 1942 North Africa encounters French Resistance fighter Marianne Beausejour on a deadly mission behind enemy lines. Reunited in London, their relationship is threatened by the extreme pressures of the war.
            ","R (for violence, some sexuality/nudity, language and brief drug use)
                    ",Robert Zemeckis,NA,NA,Steven Knight,NA,NA,NA,"Nov 23, 2016
                        ","Feb 28, 2017
                        ","
                            124 minutes
                        ","
                        Paramount Pictures
                    ","
                Brad Pitt
            ","
                Marion Cotillard
            ","
                Lizzy Caplan
            ","
                Jared Harris
            ","
                Matthew Goode
            ","
                Chris Reilly
            ",Allied,NA,"Allied has its moments, but doesn't quite achieve epic wartime romance status -- a disappointment made more profound by the dazzling talent assembled on either side of the camera.","
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",60,249,63,25,141866,6.17,6.13,52,3.51,5302,3058,15658,https://www.rottentomatoes.com/m/allied
"
                Bruce Willis and Michelle Pfeiffer star in this romantic comedy as Ben and Katie Jordan, a couple who have been married for fifteen years. They have two great kids, a nice home, and a comfortable life, but somewhere down the line, the spark went out of their marriage, and they find that they don't really love each other anymore. With their relationship at a crossroads, Ben and Katie, two different people who have never felt more different, have to decide if they want to try to salvage their marriage, or if it's time to move on. The Story of Us was directed by Rob Reiner, and features Julie Hagerty, Tim Matheson, Paul Reiser, Tom Poston, Rita Wilson, and Jayne Meadows.
            ","R (adult situations/language)
                    ",Rob Reiner,NA,NA,Alan Zweibel,Jessie Nelson,NA,NA,"Oct 15, 1999
                        ","Feb 15, 2000
                        ","
                            94 minutes
                        ","
                        Universal Pictures
                    ","
                Bruce Willis
            ","
                Michelle Pfeiffer
            ","
                Tim Matheson
            ","
                Rob Reiner
            ","
                Rita Wilson
            ","
                Paul Reiser
            ","
                                The Story of Us
                            ",1999,A lack of chemistry between Bruce Willis and Michelle Pfeiffer fatally undermines the dull and predictable Story of Us.,"
                        
                        Comedy, 
                        
                        Drama, 
                        
                        Romance
                        
                    ",26,117,58,30,135365,4.8,4.71,41,3.47,1311,953,3074,https://www.rottentomatoes.com/m/story_of_us
