description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                The devastating horror of a nuclear apocalypse is now reality and nine desperate strangers find themselves clinging to life in a farmhouse cellar, while radioactive fallout descends on the darkened world above. These would-be survivors face the nightmare of dwindling supplies, poisonous air and the greatest threat of all - the hordes of zombie-like refugees who want in. With each dying day, their choice becomes clearer - stay and let the makeshift shelter become their tomb or face the unknown terrors of the world outside. Starring Edward Furlong, Monica Keena, Andre Royo and C.J. Thomason, AFTERMATH takes a hard look at how far humans will go to survive. And it isn't pretty. (C) Image
            ","NR
                    ",Peter Engert,NA,NA,Christian McDonald,NA,NA,NA,"Jul 18, 2014
                        ","Aug 26, 2014
                        ","
                            92 minutes
                        ","
                        Image Entertainment
                    ","
                Edward Furlong
            ","
                Monica Keena
            ","
                Andre Royo
            ","
                Jessie Rusu
            ","
                C.J. Thomason
            ","
                Christine Kelly
            ","
                                Aftermath
                            ",2014,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Horror, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",47,17,17,360,138331,5.2,5,8,2.33,18,89,169,https://www.rottentomatoes.com/m/aftermath_2014
"
                Workshopped with a group of teens from The Bronx over the course of 3 years, Michel Gondry's The We and The I gives an inside look into the dynamics, drama and hilarity that emerge on a real-time bus ride through The Bronx on the last day of school. -- (C) Paladin Films
            ","NR
                    ",Michel Gondry,NA,NA,Michel Gondry,Jeffrey Grimshaw,Paul Proch,Jeff Grimshaw,"Mar 8, 2013
                        ","Sep 16, 2013
                        ","
                            103 minutes
                        ","
                        Paladin Films
                    ","
                Michael Brodie
            ","
                Teresa Lynn Eyet
            ","
                Laidychen Carrasco
            ","
                Raymond Delgado
            ","
                Jonathan Ortiz
            ","
                Jonathan Worrell
            ","
                                The We and the I
                            ",2013,"Michel Gondry's whimsical dramedy is occasionally unfocused, but it's still an imaginative and poignant take on the emotional complexities of young people.","
                        
                        Comedy, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",70,43,48,1,139674,6.64,5.92,15,3.19,114,123,685,https://www.rottentomatoes.com/m/the_we_and_the_i
"
                Set in the near-future, eXistenZ depicts a society in which game designers are worshipped as superstars and players can organically enter inside the games. At the center of the story is Allegra Geller whose latest games system eXistenZ taps so deeply into its users fears and desires that it blurs the boundaries between reality and escapism. When fanatics attempt to assassinate Allegra, she is forced to flee. Her sole ally is Ted Pikul (Law), a novice security guard who is sworn to protect her. Persuading Ted into playing the game, Allegra draws them both into a phantasmagoric world where existence ends and eXistenZ begins.
            ","R (for strong sci-fi violence and gore, and for language)
                    ",David Cronenberg,NA,NA,David Cronenberg,NA,NA,NA,"Apr 23, 1999
                        ","Oct 19, 1999
                        ","
                            97 minutes
                        ","
                        Miramax
                    ","
                Jennifer Jason Leigh
            ","
                Jude Law
            ","
                Willem Dafoe
            ","
                Ian Holm
            ","
                Sarah Polley
            ","
                Don McKellar
            ","
                                Existenz
                            ",1999,"Gooey, slimy, grotesque fun.","
                        
                        Action & Adventure, 
                        
                        Science Fiction & Fantasy
                        
                    ",74,70,69,48,135831,6.69,6.09,15,3.57,4596,2101,6518,https://www.rottentomatoes.com/m/existenz
"
                Superman (Christopher Reeve) tries to save the world from nuclear destruction at the hands of Lex Luthor (Gene Hackman) in this action film featuring the man of steel. In a speech to the United Nations, Superman declares he will rid the world of all nuclear weapons. Arch-villain Luthor emerges from prison obsessed with killing Superman and creates an adversary known as Nuclear Man (Mark Pillow). The two engage in a fight to the finish in various landmarks on Earth before taking their battle into outer space. When Lois Lane (Margot Kidder) invites both Superman and Clark Kent to a double-date dinner, Superman's powers are tested so that both men can be present. Jackie Cooper plays the gruff veteran newspaper editor Perry White, with Marc McClure as Jimmy Olsen. Sam Wanamaker plays tabloid tycoon David Warfield, the millionaire who buys the Daily Planet. Mariel Hemmingway is Warfield's daughter Lacy, Clark Kent's date at Lois' luxury apartment. This is the least interesting of the four Superman movies starring Christopher Reeve. ~ Dan Pavlides, Rovi
            ","PG
                    ",Sidney J. Furie,NA,NA,Lawrence Konner,Mark Rosenthal,NA,NA,"Jul 24, 1987
                        ","May 1, 2001
                        ","
                            91 minutes
                        ","
                        Warner Home Video
                    ","
                Christopher Reeve
            ","
                Gene Hackman
            ","
                Mark Pillow
            ","
                Margot Kidder
            ","
                Jackie Cooper
            ","
                Marc McClure
            ","
                                Superman IV: The Quest for Peace
                            ",1987,"The Superman series bottoms out here: the action is boring, the special effects look cheaper, and none of the actors appear interested in where the plot's going.","
                        
                        Action & Adventure, 
                        
                        Science Fiction & Fantasy
                        
                    ",11,45,16,65,134076,2.83,3.31,11,2.01,885,4823,4564,https://www.rottentomatoes.com/m/superman_iv_the_quest_for_peace
"
                The setting is New York, 5 minutes in the future. The glorious technological advances and communication devices of the near future meant to increase connectivity and alleviate boredom are only increasing the anxiety level of the insecure New Yorkers who've inherited them. David (writer/director Benjamin Dickinson) is an overworked, tech-addled advertising executive developing a high-profile marketing campaign for a new generation of Augmented Reality glasses. Feeling stuck in his relationship with yoga teacher Juliette (Nora Zehetner, BRICK, IFC's ""Maron""), he envies the charmed life of his best friend, fashion photographer Wim (Dan Gill, THE WEDDING RINGER) and his entrancing girlfriend Sophie (Alexia Rasmussen, CALIFORNIA SOLO) - so he uses the glasses to develop a life-like avatar of her. Unwittingly, fantasy and reality begin to blur. As passions escalate and things get increasingly out of hand, the friends are forced to deal with the impending collision between their public, private and imaginary lives.
            ","R (for strong sexual content, nudity, language and drug use)
                    ",Benjamin Dickinson,NA,NA,Benjamin Dickinson,Micah Bloomberg,NA,NA,"Mar 11, 2016
                        ","May 10, 2016
                        ","
                            97 minutes
                        ","
                        Magnolia Pictures
                    ","
                Benjamin Dickinson
            ","
                Nora Zehetner
            ","
                Dan Gill
            ","
                Alexia Rasmussen
            ","
                Reggie Watts
            ","
                Paul Manza
            ",Creative Control,NA,No consensus yet.,"
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",60,55,39,574,135963,6.22,6.54,19,2.89,62,98,364,https://www.rottentomatoes.com/m/creative_control
"
                Set in the strange and oppressive emotional landscape of the year 1983, Beyond the Black Rainbow is a Reagan-era fever dream inspired by hazy childhood memories of midnight movies and Saturday morning cartoons. From the producer of ""Machotaildrop,"" Rainbow is the outlandish feature film debut of writer and director Panos Cosmatos. Featuring a hypnotic analog synthesizer score by Jeremy Schmidt of ""Sinoia Caves"" and ""Black Mountain,"" Rainbow is a film experience for the senses. -- (C) Magnet
            ","R (for some bloody violence, disturbing images, a graphic sexual illustration, language and drug content)
                    ",Panos Cosmatos,NA,NA,Panos Cosmatos,NA,NA,NA,"May 18, 2012
                        ","Sep 11, 2012
                        ","
                            110 minutes
                        ","
                        Magnolia Pictures
                    ","
                Michael Rogers
            ","
                Eva Allan
            ","
                Scott Hylands
            ","
                Marilyn Norry
            ","
                Rondel Reynoldson
            ","
                Geoffrey Condor
            ","
                                Beyond The Black Rainbow
                            ",2012,No consensus yet.,"
                        
                        Horror, 
                        
                        Science Fiction & Fantasy
                        
                    ",58,33,52,3,141710,5.87,4.12,9,3.26,547,495,1457,https://www.rottentomatoes.com/m/beyond_the_black_rainbow_2012
"
                The recently dead return to life in They Came Back, but they are surprisingly uninterested in feasting on the living. Many of them are, naturally enough, elderly, and they seem content merely to go back to their former lives, but their return causes a myriad of complications. Robin Campillo, making his feature directorial debut, co-wrote the script to Laurent Cantet's Time Out, and his ""zombie"" movie quietly examines the individual and societal impact the dead have on the small French city -- just one of many similarly afflicted throughout the world -- to which they return. Isham (Djemel Barek) and Vronique (Marie Matheron) have their trepidations, but they're generally happy, at first, to see their little boy Sylvain (Saady Delas), and the town's elderly mayor (Victor Garrivier) welcomes home his wife, Martha (Catherine Samie). But Rachel (Graldine Pailhas of 5x2), a government health official, cannot bring herself to visit her newly returned husband, Mathieu (Jonathan Zacca of Seaside), at the ad-hoc shelter where the government houses the ""zombies"" like refugees. Eventually, she relents, and Mathieu returns home, but the living find that their loved ones are not exactly as they remember them. Studies soon reveal that the dead suffer from a form of aphasia. They cannot create new memories, and they cannot be trusted to perform any but the most menial tasks. Perhaps sensing the discomfort they cause the living, the dead gather together at night, and seem to be formulating some kind of secret plan. They Came Back was selected by the Museum of Modern Art and the Film Society of Lincoln Center for inclusion in the 2005 edition of New Directors/New Films.
            ","NR
                    ",Robin Campillo,NA,NA,Robin Campillo,Brigitte Tijou,NA,NA,"May 14, 2004
                        ","Jun 21, 2005
                        ","
                            102 minutes
                        ","
                        Haut et Court
                    ","
                Geraldine Pailhas
            ","
                Jonathan Zacca
            ","
                Victor Garrivier
            ","
                Catherine Samie
            ","
                Djemel Barek
            ","
                Marie Matheron
            ","
                                They Came Back
                            ",2004,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Drama, 
                        
                        Horror, 
                        
                        Science Fiction & Fantasy
                        
                    ",78,9,42,2,132609,6.24,0,0,2.96,134,184,400,https://www.rottentomatoes.com/m/revenants
"
                In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.
            ","PG-13
                    ",Fritz Lang,NA,NA,Thea von Harbou,Fritz Lang,NA,NA,"Mar 13, 1927
                        ","Feb 18, 2003
                        ","
                            115 minutes
                        ","
                        Paramount Pictures
                    ","
                Alfred Abel
            ","
                Gustav Frolich
            ","
                Gustav Frhlich
            ","
                Brigitte Helm
            ","
                Rudolf Klein-Rogge
            ","
                Theodor Loos
            ",Metropolis,NA,A visually awe-inspiring science fiction classic from the silent era.,"
                        
                        Action & Adventure, 
                        
                        Art House & International, 
                        
                        Classics, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",97,126,92,62,132143,9.1,9.25,38,4.37,12387,1145,13651,https://www.rottentomatoes.com/m/1013775-metropolis
"
                Set in the very near future, an elite squad of highly trained marines, led by commanding officer Captain Bukes are sent on a routine training exercise to a remote island - the precise location of which no one knows and from which all communications are cut off dead. Accompanying them on the mission is 'tech head' Specialist Mills, a mysterious coder whose brain is interfaced with a computer.
            ","NR
                    ",Steven Gomez,NA,NA,Steven Gomez,NA,NA,NA,"May 17, 2016
                        ","Dec 27, 2016
                        ","
                            99 minutes
                        ","
                        Vertigo Films
                    ","
                Thure Lindhardt
            ","
                Vanessa Kirby
            ","
                David Ajala
            ","
                Thure Lindhart
            ","
                Mike Noble
            ","
                Bentley Kalu
            ",Kill Command,NA,No consensus yet.,"
                        
                        Action & Adventure, 
                        
                        Drama, 
                        
                        Science Fiction & Fantasy
                        
                    ",75,12,44,1,134996,5.56,6,1,3.09,223,282,966,https://www.rottentomatoes.com/m/kill_command
"
                When a single mother and her two young children are tormented by an increasingly strange and intense presence in their quiet suburban home, she turns to her scientist boyfriend to take on the violent forces that paranormal experts are too frightened to face.
            ","NR
                    ",Alistair Legrand,NA,NA,Alistair Legrand,Luke Harvis,NA,NA,"Oct 16, 2015
                        ","Nov 3, 2015
                        ","
                            86 minutes
                        ","

                            86 minutes
                        
","
                Ali Larter
            ","
                Max Rose
            ","
                Chloe Perrin
            ","
                Arjun Gupta
            ","
                Merrin Dungey
            ","
                Joe Egender
            ",The Diabolical,NA,No consensus yet.,"
                        
                        Horror, 
                        
                        Mystery & Suspense, 
                        
                        Science Fiction & Fantasy
                        
                    ",40,10,19,439,134017,4.42,5.5,4,2.38,44,188,140,https://www.rottentomatoes.com/m/the_diabolical_2015
